patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.10,Ashe,bot,3,0,3,1,0,1
16.10,Lulu,sup,3,0,3,1,0,1
16.10,Milio,sup,3,0,3,0,0,0
16.10,Ryze,mid,3,0,3,1,0,1
16.10,Vi,jng,3,0,3,1,0,1
16.10,Ahri,mid,2,0,2,2,0,2
16.10,Jax,top,2,0,2,0,0,0
16.10,K'Sante,top,2,0,2,2,0,2
16.10,Lucian,bot,2,0,2,0,0,0
16.10,Renekton,top,2,0,2,0,0,0
16.10,Rumble,top,2,0,2,1,0,1
16.10,Xin Zhao,jng,2,0,2,2,0,2
16.10,Aatrox,jng,1,0,1,0,0,0
16.10,Azir,mid,1,0,1,0,0,0
16.10,Ekko,mid,1,0,1,0,0,0
16.10,Ezreal,bot,1,0,1,1,0,1
16.10,Galio,mid,1,0,1,0,0,0
16.10,Jarvan IV,jng,1,0,1,0,0,0
16.10,Karma,sup,1,0,1,1,0,1
16.10,Nami,sup,1,0,1,1,0,1
16.10,Nocturne,jng,1,0,1,0,0,0
16.10,Seraphine,sup,1,0,1,0,0,0
16.10,Sivir,bot,1,0,1,0,0,0
16.10,Smolder,bot,1,0,1,0,0,0
16.10,Varus,bot,1,0,1,1,0,1
16.10,Viktor,mid,1,0,1,0,0,0
16.10,Yorick,top,1,0,1,0,0,0
16.10,Zaahen,jng,1,0,1,0,0,0
