patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.08,Akali,mid,0,6,3,0,3,3
16.08,Wukong,jng,2,3,3,0,2,2
16.08,Ambessa,top,0,4,2,0,2,2
16.08,Syndra,mid,0,4,3,0,2,2
16.08,Azir,mid,3,0,3,1,0,1
16.08,Corki,bot,2,1,3,0,0,0
16.08,Nami,sup,1,2,2,0,1,1
16.08,Zac,jng,0,3,2,0,2,2
16.08,Pantheon,jng,1,1,2,0,1,1
16.08,Seraphine,sup,2,0,2,2,0,2
16.08,Sion,top,2,0,2,2,0,2
16.08,Sylas,mid,0,2,1,0,1,1
16.08,Xin Zhao,jng,2,0,2,2,0,2
16.08,Ahri,mid,1,0,1,1,0,1
16.08,Aphelios,bot,1,0,1,0,0,0
16.08,Ashe,bot,1,0,1,1,0,1
16.08,Aurora,mid,1,0,1,0,0,0
16.08,Bard,sup,1,0,1,1,0,1
16.08,Cho'Gath,top,1,0,1,0,0,0
16.08,Ezreal,bot,1,0,1,1,0,1
16.08,Jhin,bot,1,0,1,1,0,1
16.08,Lulu,sup,0,1,1,0,0,0
16.08,Malphite,jng,0,1,1,0,0,0
16.08,Neeko,sup,1,0,1,0,0,0
16.08,Nocturne,jng,1,0,1,1,0,1
16.08,Ornn,top,0,1,1,0,1,1
16.08,Rakan,sup,0,1,1,0,0,0
16.08,Rell,sup,1,0,1,0,0,0
16.08,Rumble,top,1,0,1,0,0,0
16.08,Ryze,mid,1,0,1,1,0,1
16.08,Zaahen,top,1,0,1,0,0,0
16.08,Zac,top,1,0,1,1,0,1
16.09,Syndra,mid,1,8,4,1,3,4
16.09,Ambessa,top,0,8,3,0,3,3
16.09,Akali,mid,2,4,4,0,1,1
16.09,Azir,mid,3,3,4,1,1,2
16.09,Aurora,mid,2,3,3,1,1,2
16.09,Nami,sup,2,3,3,2,1,3
16.09,Lucian,bot,4,0,4,4,0,4
16.09,Sion,top,3,1,3,1,1,2
16.09,Wukong,jng,4,0,4,1,0,1
16.09,Bard,sup,2,1,2,0,0,0
16.09,Lulu,sup,1,2,2,0,1,1
16.09,Orianna,mid,0,3,3,0,1,1
16.09,Rumble,top,2,1,2,0,1,1
16.09,Xin Zhao,jng,3,0,3,3,0,3
16.09,Aatrox,jng,2,0,2,0,0,0
16.09,Ahri,mid,0,2,1,0,1,1
16.09,Cho'Gath,top,2,0,2,2,0,2
16.09,Ezreal,bot,2,0,2,0,0,0
16.09,Karma,sup,1,1,2,0,0,0
16.09,Seraphine,sup,1,1,2,0,1,1
16.09,Smolder,bot,1,1,1,0,1,1
16.09,Viktor,mid,2,0,2,1,0,1
16.09,Yuumi,sup,2,0,2,2,0,2
16.09,Zaahen,top,0,2,1,0,0,0
16.09,Zac,top,2,0,2,1,0,1
16.09,Alistar,sup,1,0,1,0,0,0
16.09,Anivia,mid,0,1,1,0,0,0
16.09,Ashe,bot,0,1,1,0,0,0
16.09,Caitlyn,bot,1,0,1,0,0,0
16.09,Corki,bot,0,1,1,0,1,1
16.09,Gnar,top,1,0,1,0,0,0
16.09,Mel,mid,0,1,1,0,0,0
16.09,Naafiri,jng,0,1,1,0,0,0
16.09,Nautilus,sup,0,1,1,0,0,0
16.09,Nocturne,jng,0,1,1,0,0,0
16.09,Ornn,top,0,1,1,0,1,1
16.09,Pantheon,jng,1,0,1,0,0,0
16.09,Rakan,sup,1,0,1,0,0,0
16.09,Renekton,top,1,0,1,0,0,0
16.09,Ryze,mid,1,0,1,0,0,0
16.09,Sivir,bot,1,0,1,0,0,0
16.09,Sylas,mid,0,1,1,0,0,0
16.09,Sylas,jng,1,0,1,0,0,0
16.09,Varus,bot,0,1,1,0,1,1
16.09,Xayah,bot,1,0,1,0,0,0
16.09,Yunara,bot,1,0,1,0,0,0
16.09,Zac,jng,0,1,1,0,0,0
