patch,champ,role,picks_vs,bans_vs
16.01,Ambessa,jng,1,0
16.01,Braum,sup,0,1
16.01,Corki,bot,0,1
16.01,Diana,jng,0,1
16.01,Janna,sup,0,1
16.01,Orianna,mid,1,0
16.01,Poppy,sup,0,1
16.01,Rakan,sup,1,0
16.01,Sion,top,1,0
16.01,Yunara,bot,1,0
16.02,Diana,jng,0,4
16.02,Renekton,top,0,4
16.02,Olaf,top,0,3
16.02,Varus,bot,2,1
16.02,Aatrox,top,2,0
16.02,Braum,sup,0,2
16.02,Jarvan IV,jng,1,1
16.02,K'Sante,top,1,1
16.02,Karma,sup,1,1
16.02,Lulu,sup,1,1
16.02,Orianna,mid,2,0
16.02,Rek'Sai,top,0,2
16.02,Yunara,bot,0,2
16.02,Alistar,sup,1,0
16.02,Aphelios,bot,1,0
16.02,Ashe,bot,0,1
16.02,Aurora,mid,0,1
16.02,Bel'Veth,jng,1,0
16.02,Dr. Mundo,jng,1,0
16.02,Ezreal,bot,1,0
16.02,Galio,mid,1,0
16.02,Galio,sup,1,0
16.02,Ivern,jng,1,0
16.02,Janna,sup,0,1
16.02,Jhin,bot,1,0
16.02,Lee Sin,jng,1,0
16.02,Leona,sup,1,0
16.02,Malphite,top,1,0
16.02,Nautilus,sup,0,1
16.02,Rakan,sup,0,1
16.02,Rell,sup,1,0
16.02,Rumble,top,1,0
16.02,Ryze,mid,1,0
16.02,Sion,top,1,0
16.02,Sivir,bot,0,1
16.02,Smolder,bot,1,0
16.02,Sylas,mid,0,1
16.02,Syndra,mid,0,1
16.02,Taliyah,mid,1,0
16.02,Tristana,mid,1,0
16.02,Volibear,jng,1,0
16.03,Renekton,top,0,5
16.03,Veigar,mid,0,4
16.03,Gwen,top,0,2
16.03,K'Sante,top,1,1
16.03,Nami,sup,1,1
16.03,Olaf,top,0,2
16.03,Pantheon,jng,1,1
16.03,Rumble,top,2,0
16.03,Ryze,mid,1,1
16.03,Syndra,mid,0,2
16.03,Yunara,bot,2,0
16.03,Aatrox,jng,1,0
16.03,Akali,mid,0,1
16.03,Ambessa,jng,1,0
16.03,Anivia,mid,1,0
16.03,Ashe,bot,0,1
16.03,Azir,mid,1,0
16.03,Cassiopeia,mid,1,0
16.03,Dr. Mundo,top,1,0
16.03,Ezreal,bot,1,0
16.03,Gragas,top,1,0
16.03,Janna,sup,1,0
16.03,Jarvan IV,jng,1,0
16.03,Jayce,top,0,1
16.03,Jhin,bot,1,0
16.03,Kai'Sa,bot,0,1
16.03,Kog'Maw,bot,1,0
16.03,Leona,sup,1,0
16.03,Lucian,bot,1,0
16.03,Naafiri,jng,1,0
16.03,Nautilus,sup,1,0
16.03,Neeko,sup,1,0
16.03,Orianna,mid,1,0
16.03,Poppy,sup,1,0
16.03,Rakan,sup,1,0
16.03,Seraphine,sup,0,1
16.03,Sion,top,0,1
16.03,Sivir,bot,1,0
16.03,Taliyah,mid,1,0
16.03,Volibear,top,1,0
16.03,Wukong,jng,1,0
16.03,Xerath,mid,1,0
16.03,Zaahen,jng,1,0
16.03,Zaahen,top,1,0
