patch,champ,role,picks_vs,bans_vs
16.1,Nocturne,jng,3,0
16.1,Aurora,mid,2,0
16.1,Nautilus,sup,2,0
16.1,Renekton,top,2,0
16.1,Syndra,mid,2,0
16.1,Varus,bot,2,0
16.1,Aatrox,jng,1,0
16.1,Ahri,mid,1,0
16.1,Alistar,sup,1,0
16.1,Ambessa,top,1,0
16.1,Annie,mid,1,0
16.1,Ashe,bot,1,0
16.1,Bard,sup,1,0
16.1,Blitzcrank,sup,1,0
16.1,Braum,sup,1,0
16.1,Corki,bot,1,0
16.1,Dr. Mundo,jng,1,0
16.1,Draven,bot,1,0
16.1,Ezreal,bot,1,0
16.1,Gnar,top,1,0
16.1,K'Sante,top,1,0
16.1,Lucian,bot,1,0
16.1,Nami,sup,1,0
16.1,Olaf,top,1,0
16.1,Ryze,mid,1,0
16.1,Seraphine,sup,1,0
16.1,Sion,top,1,0
16.1,Sivir,bot,1,0
16.1,Skarner,jng,1,0
16.1,Vayne,top,1,0
16.1,Vi,jng,1,0
16.1,Viktor,mid,1,0
16.1,Xin Zhao,jng,1,0
