patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.01,Akali,mid,1,0,1,1,0,1
16.01,Gwen,top,0,1,1,0,1,1
16.01,Jax,top,1,0,1,1,0,1
16.01,Jayce,top,0,1,1,0,1,1
16.01,Malphite,jng,0,1,1,0,1,1
16.01,Naafiri,jng,1,0,1,1,0,1
16.01,Rell,sup,1,0,1,1,0,1
16.01,Rumble,top,0,1,1,0,1,1
16.01,Varus,bot,1,0,1,1,0,1
16.01,Zed,mid,0,1,1,0,1,1
16.02,Varus,bot,0,5,3,0,3,3
16.02,Diana,jng,1,3,2,1,1,2
16.02,Nautilus,sup,2,2,4,2,2,4
16.02,Gwen,top,0,3,3,0,2,2
16.02,Zed,mid,0,3,2,0,2,2
16.02,Alistar,sup,2,0,2,1,0,1
16.02,Ambessa,top,0,2,2,0,2,2
16.02,Azir,mid,2,0,2,1,0,1
16.02,Caitlyn,bot,2,0,2,1,0,1
16.02,Leona,sup,1,1,1,0,0,0
16.02,Lulu,sup,0,2,2,0,2,2
16.02,Malphite,jng,0,2,1,0,1,1
16.02,Orianna,mid,1,1,2,1,0,1
16.02,Ornn,top,0,2,2,0,1,1
16.02,Rell,sup,1,1,2,1,1,2
16.02,Sion,top,1,1,1,0,1,1
16.02,Syndra,mid,2,0,2,1,0,1
16.02,Yunara,bot,2,0,2,2,0,2
16.02,Zaahen,top,2,0,2,1,0,1
16.02,Zed,jng,2,0,2,2,0,2
16.02,Ambessa,jng,1,0,1,0,0,0
16.02,Amumu,jng,1,0,1,0,0,0
16.02,Anivia,mid,1,0,1,0,0,0
16.02,Braum,sup,1,0,1,0,0,0
16.02,Cassiopeia,mid,0,1,1,0,0,0
16.02,Darius,top,1,0,1,1,0,1
16.02,Ezreal,bot,1,0,1,1,0,1
16.02,Jayce,top,0,1,1,0,1,1
16.02,K'Sante,top,1,0,1,0,0,0
16.02,Kai'Sa,bot,1,0,1,0,0,0
16.02,Lillia,jng,0,1,1,0,0,0
16.02,Mordekaiser,top,1,0,1,1,0,1
16.02,Morgana,jng,1,0,1,0,0,0
16.02,Naafiri,jng,1,0,1,1,0,1
16.02,Neeko,sup,0,1,1,0,0,0
16.02,Poppy,sup,0,1,1,0,1,1
16.02,Rumble,top,1,0,1,1,0,1
16.02,Ryze,mid,1,0,1,1,0,1
16.02,Sivir,bot,1,0,1,0,0,0
16.02,Wukong,jng,0,1,1,0,0,0
16.02,Xin Zhao,jng,0,1,1,0,0,0
16.08,Caitlyn,bot,1,6,4,1,2,3
