patch,champ,role,picks_vs,bans_vs
16.01,Galio,mid,1,0
16.01,Gnar,top,1,0
16.01,Jarvan IV,jng,0,1
16.01,Jayce,top,0,1
16.01,Lee Sin,jng,1,0
16.01,Neeko,sup,1,0
16.01,Rell,sup,0,1
16.01,Sion,top,0,1
16.01,Varus,bot,1,0
16.01,Ziggs,bot,0,1
16.02,Jarvan IV,jng,0,4
16.02,Ryze,mid,0,4
16.02,Ornn,top,0,3
16.02,Nautilus,sup,1,1
16.02,Rakan,sup,1,1
16.02,Aatrox,jng,0,1
16.02,Ahri,mid,1,0
16.02,Ambessa,jng,1,0
16.02,Azir,mid,1,0
16.02,Caitlyn,bot,0,1
16.02,Ezreal,bot,1,0
16.02,Galio,mid,1,0
16.02,Gnar,top,1,0
16.02,Gwen,top,1,0
16.02,Hwei,mid,1,0
16.02,K'Sante,top,1,0
16.02,Lucian,bot,1,0
16.02,Lulu,sup,1,0
16.02,Rell,sup,1,0
16.02,Renekton,top,0,1
16.02,Sejuani,jng,1,0
16.02,Twitch,bot,1,0
16.02,Vi,jng,1,0
16.02,Viego,jng,0,1
16.02,Wukong,jng,0,1
16.02,Yunara,bot,1,0
16.02,Zaahen,top,1,0
16.02,Zac,jng,1,0
