patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.01,Azir,mid,0,4,3,0,3,3
16.01,Orianna,mid,1,3,3,0,2,2
16.01,Sejuani,jng,2,2,3,1,1,2
16.01,Sion,top,1,3,3,0,1,1
16.01,Aphelios,bot,2,1,3,1,1,2
16.01,Jarvan IV,jng,1,2,2,0,1,1
16.01,Varus,bot,2,1,3,1,1,2
16.01,Alistar,sup,2,0,2,2,0,2
16.01,Braum,sup,2,0,2,1,0,1
16.01,Kassadin,mid,1,1,2,0,0,0
16.01,Renekton,top,2,0,2,1,0,1
16.01,Syndra,mid,1,1,2,1,0,1
16.01,Wukong,jng,0,2,2,0,1,1
16.01,Ambessa,top,1,0,1,1,0,1
16.01,Caitlyn,bot,0,1,1,0,0,0
16.01,Cassiopeia,mid,1,0,1,1,0,1
16.01,Corki,bot,0,1,1,0,0,0
16.01,Diana,jng,1,0,1,0,0,0
16.01,Dr. Mundo,jng,0,1,1,0,0,0
16.01,Ivern,jng,1,0,1,1,0,1
16.01,Jax,top,0,1,1,0,0,0
16.01,Leona,sup,1,0,1,0,0,0
16.01,Lucian,bot,1,0,1,0,0,0
16.01,Lulu,sup,0,1,1,0,1,1
16.01,Malphite,jng,1,0,1,1,0,1
16.01,Malphite,top,1,0,1,0,0,0
16.01,Ornn,top,1,0,1,1,0,1
16.01,Poppy,sup,0,1,1,0,0,0
16.01,Rell,sup,1,0,1,0,0,0
16.01,Smolder,bot,1,0,1,1,0,1
16.01,Sylas,mid,0,1,1,0,0,0
16.01,Taliyah,mid,1,0,1,0,0,0
16.01,Viktor,mid,1,0,1,1,0,1
16.01,Xin Zhao,jng,0,1,1,0,1,1
16.02,Ivern,jng,0,2,1,0,1,1
16.02,Jarvan IV,jng,0,2,1,0,1,1
16.02,Sejuani,jng,1,1,1,0,1,1
16.02,Syndra,mid,0,2,1,0,1,1
16.02,Ambessa,top,1,0,1,0,0,0
16.02,Azir,mid,1,0,1,1,0,1
16.02,Caitlyn,bot,0,1,1,0,0,0
16.02,Corki,bot,1,0,1,1,0,1
16.02,Gnar,top,1,0,1,1,0,1
16.02,Lucian,bot,0,1,1,0,0,0
16.02,Nautilus,sup,1,0,1,1,0,1
16.02,Orianna,mid,1,0,1,0,0,0
16.02,Rakan,sup,1,0,1,0,0,0
16.02,Vi,jng,0,1,1,0,1,1
16.02,Xayah,bot,1,0,1,0,0,0
16.02,Xin Zhao,jng,1,0,1,1,0,1
16.03,Ambessa,top,0,5,2,0,2,2
16.03,Jarvan IV,jng,1,4,3,1,2,3
16.03,Akali,mid,1,3,3,0,1,1
16.03,Cassiopeia,mid,0,4,2,0,1,1
16.03,Smolder,bot,1,3,3,0,2,2
16.03,Syndra,mid,1,3,3,0,2,2
16.03,Varus,bot,0,4,3,0,3,3
16.03,Wukong,jng,4,0,4,1,0,1
16.03,Ezreal,bot,2,1,3,1,0,1
16.03,Kassadin,mid,1,2,2,1,1,2
16.03,Nami,sup,3,0,3,2,0,2
16.03,Orianna,mid,1,2,3,1,1,2
16.03,Sion,top,3,0,3,2,0,2
16.03,Azir,mid,0,2,1,0,1,1
16.03,Dr. Mundo,jng,2,0,2,2,0,2
16.03,Gragas,top,2,0,2,1,0,1
16.03,Karma,sup,2,0,2,1,0,1
16.03,Lucian,bot,1,1,2,0,0,0
16.03,Rakan,sup,0,2,1,0,1,1
16.03,Rell,sup,2,0,2,1,0,1
16.03,Sylas,mid,0,2,1,0,0,0
16.03,Taliyah,mid,2,0,2,1,0,1
16.03,Yunara,bot,2,0,2,2,0,2
16.03,Zaahen,top,1,1,2,1,0,1
16.03,Alistar,sup,1,0,1,0,0,0
16.03,Aphelios,bot,0,1,1,0,1,1
16.03,Aurora,mid,1,0,1,1,0,1
16.03,Braum,sup,0,1,1,0,1,1
16.03,Corki,bot,1,0,1,1,0,1
16.03,Gnar,top,1,0,1,0,0,0
16.03,Ivern,jng,0,1,1,0,0,0
16.03,Jhin,bot,1,0,1,0,0,0
16.03,Kai'Sa,bot,1,0,1,0,0,0
16.03,Leona,sup,0,1,1,0,0,0
16.03,Lillia,jng,0,1,1,0,0,0
16.03,Mel,mid,1,0,1,0,0,0
16.03,Milio,sup,1,0,1,0,0,0
16.03,Nautilus,sup,0,1,1,0,1,1
16.03,Ornn,top,1,0,1,0,0,0
16.03,Renekton,top,1,0,1,0,0,0
16.03,Sejuani,jng,1,0,1,0,0,0
16.03,Vi,jng,1,0,1,0,0,0
16.03,Viktor,mid,1,0,1,0,0,0
16.06,Jarvan IV,jng,0,2,1,0,1,1
16.06,Yunara,bot,0,2,1,0,1,1
16.06,Ambessa,top,0,1,1,0,1,1
16.06,Bard,sup,0,1,1,0,0,0
16.06,Corki,bot,1,0,1,1,0,1
16.06,Irelia,top,0,1,1,0,1,1
16.06,Nami,sup,1,0,1,1,0,1
16.06,Nautilus,sup,0,1,1,0,1,1
16.06,Nocturne,jng,1,0,1,0,0,0
16.06,Orianna,mid,1,0,1,0,0,0
16.06,Rakan,sup,0,1,1,0,0,0
16.06,Renata Glasc,sup,1,0,1,0,0,0
16.06,Shen,top,1,0,1,0,0,0
16.06,Sion,top,1,0,1,1,0,1
16.06,Sivir,bot,1,0,1,0,0,0
16.06,Syndra,mid,1,0,1,1,0,1
16.06,Varus,bot,0,1,1,0,0,0
16.06,Xin Zhao,jng,1,0,1,1,0,1
16.07,Nocturne,jng,0,4,2,0,2,2
16.07,Nautilus,sup,1,2,2,0,1,1
16.07,Xin Zhao,jng,2,1,2,1,1,2
16.07,Ambessa,top,0,2,1,0,1,1
16.07,Cassiopeia,mid,0,2,2,0,1,1
16.07,Corki,bot,2,0,2,1,0,1
16.07,Gnar,top,2,0,2,2,0,2
16.07,Ivern,jng,0,2,1,0,1,1
16.07,Orianna,mid,1,1,2,1,1,2
16.07,Viktor,mid,2,0,2,0,0,0
16.07,Wukong,jng,2,0,2,1,0,1
16.07,Aatrox,top,1,0,1,0,0,0
16.07,Ahri,mid,0,1,1,0,0,0
16.07,Alistar,sup,1,0,1,0,0,0
16.07,Ashe,bot,1,0,1,1,0,1
16.07,Aurora,mid,0,1,1,0,0,0
16.07,Dr. Mundo,jng,0,1,1,0,1,1
16.07,Jhin,bot,1,0,1,0,0,0
16.07,Mel,mid,1,0,1,1,0,1
16.07,Nami,sup,1,0,1,1,0,1
16.07,Ryze,mid,0,1,1,0,1,1
16.07,Seraphine,sup,1,0,1,1,0,1
16.07,Syndra,mid,0,1,1,0,0,0
16.07,Urgot,top,1,0,1,0,0,0
16.07,Yunara,bot,0,1,1,0,0,0
16.08,Nautilus,sup,2,2,2,0,2,2
16.08,Dr. Mundo,jng,1,1,1,0,1,1
16.08,Gwen,top,1,1,2,1,0,1
16.08,Nami,sup,0,2,2,0,2,2
16.08,Nocturne,jng,1,1,2,1,1,2
16.08,Orianna,mid,0,2,2,0,0,0
16.08,Pantheon,jng,0,2,1,0,1,1
16.08,Urgot,top,1,1,2,0,0,0
16.08,Yunara,bot,1,1,2,0,0,0
16.08,Aatrox,top,1,0,1,0,0,0
16.08,Akali,mid,1,0,1,1,0,1
16.08,Amumu,sup,0,1,1,0,1,1
16.08,Ashe,bot,0,1,1,0,0,0
16.08,Aurora,mid,1,0,1,0,0,0
16.08,Bard,sup,0,1,1,0,1,1
16.08,Cassiopeia,mid,1,0,1,1,0,1
16.08,Corki,bot,1,0,1,1,0,1
16.08,Ezreal,bot,1,0,1,1,0,1
16.08,Jarvan IV,jng,1,0,1,1,0,1
16.08,Jayce,top,1,0,1,1,0,1
16.08,Kalista,bot,1,0,1,0,0,0
16.08,Kha'Zix,jng,1,0,1,0,0,0
16.08,Leona,sup,1,0,1,1,0,1
16.08,Mel,mid,0,1,1,0,0,0
16.08,Neeko,sup,0,1,1,0,1,1
16.08,Rell,sup,1,0,1,1,0,1
16.08,Rumble,top,0,1,1,0,0,0
16.08,Sylas,mid,1,0,1,0,0,0
16.08,Viktor,mid,0,1,1,0,0,0
16.09,Cassiopeia,mid,0,6,3,0,3,3
16.09,Nocturne,jng,2,4,3,2,1,3
16.09,Corki,bot,1,4,3,0,2,2
16.09,Orianna,mid,1,4,2,0,1,1
16.09,Aurora,mid,3,1,3,1,1,2
16.09,Dr. Mundo,jng,0,4,2,0,1,1
16.09,Gwen,top,2,1,2,0,1,1
16.09,Pantheon,jng,1,2,2,0,2,2
16.09,Urgot,top,2,1,3,2,0,2
16.09,Ambessa,top,2,0,2,1,0,1
16.09,Jarvan IV,jng,1,1,1,0,0,0
16.09,Lulu,sup,1,1,2,0,0,0
16.09,Nami,sup,1,1,2,0,1,1
16.09,Rell,sup,1,1,2,1,0,1
16.09,Skarner,jng,2,0,2,0,0,0
16.09,Sylas,mid,2,0,2,1,0,1
16.09,Yunara,bot,2,0,2,0,0,0
16.09,Aatrox,jng,0,1,1,0,0,0
16.09,Aatrox,top,1,0,1,0,0,0
16.09,Ahri,mid,1,0,1,1,0,1
16.09,Akali,mid,0,1,1,0,1,1
16.09,Ashe,bot,1,0,1,0,0,0
16.09,Bard,sup,1,0,1,0,0,0
16.09,Braum,sup,0,1,1,0,1,1
16.09,Caitlyn,bot,1,0,1,0,0,0
16.09,Ezreal,bot,1,0,1,1,0,1
16.09,Kai'Sa,bot,1,0,1,1,0,1
16.09,Karma,sup,1,0,1,1,0,1
16.09,Kled,top,0,1,1,0,0,0
16.09,Lucian,bot,1,0,1,1,0,1
16.09,Malphite,top,1,0,1,0,0,0
16.09,Naafiri,jng,1,0,1,0,0,0
16.09,Nautilus,sup,1,0,1,1,0,1
16.09,Renekton,top,0,1,1,0,0,0
16.09,Ryze,mid,1,0,1,0,0,0
16.09,Seraphine,sup,1,0,1,0,0,0
16.09,Sion,top,0,1,1,0,0,0
16.09,Soraka,sup,1,0,1,0,0,0
16.09,Vayne,top,0,1,1,0,0,0
16.09,Vi,jng,1,0,1,1,0,1
16.09,Wukong,jng,0,1,1,0,0,0
16.09,Xin Zhao,jng,0,1,1,0,0,0
