patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.03,Orianna,mid,1,1,2,1,1,2
16.03,Qiyana,jng,1,1,2,1,1,2
16.03,Aatrox,jng,1,0,1,1,0,1
16.03,Alistar,sup,0,1,1,0,1,1
16.03,Ambessa,top,0,1,1,0,1,1
16.03,Bard,sup,0,1,1,0,1,1
16.03,Jhin,bot,1,0,1,1,0,1
16.03,Karma,sup,1,0,1,1,0,1
16.03,Lee Sin,jng,0,1,1,0,1,1
16.03,Leona,sup,1,0,1,1,0,1
16.03,Nautilus,sup,0,1,1,0,1,1
16.03,Pantheon,jng,0,1,1,0,1,1
16.03,Rumble,top,1,0,1,1,0,1
16.03,Ryze,mid,1,0,1,1,0,1
16.03,Tristana,bot,1,0,1,1,0,1
16.03,Varus,bot,0,1,1,0,1,1
16.03,Yorick,top,1,0,1,1,0,1
16.03,Yunara,bot,0,1,1,0,1,1
16.04,Ambessa,top,0,3,1,0,1,1
16.04,Rell,sup,1,2,2,0,1,1
16.04,Rumble,top,1,2,2,1,1,2
16.04,Tristana,bot,1,2,2,0,1,1
16.04,Zaahen,top,0,3,1,0,1,1
16.04,Ahri,mid,0,2,1,0,1,1
16.04,Alistar,sup,0,2,1,0,1,1
16.04,Nautilus,sup,0,2,1,0,1,1
16.04,Ryze,mid,2,0,2,1,0,1
16.04,Sylas,mid,2,0,2,1,0,1
16.04,Aatrox,jng,0,1,1,0,1,1
16.04,Aatrox,top,1,0,1,0,0,0
16.04,Akali,mid,0,1,1,0,0,0
16.04,Azir,mid,0,1,1,0,0,0
16.04,Blitzcrank,sup,1,0,1,0,0,0
16.04,Corki,bot,1,0,1,1,0,1
16.04,Dr. Mundo,jng,0,1,1,0,0,0
16.04,Gnar,top,1,0,1,1,0,1
16.04,Jarvan IV,jng,1,0,1,1,0,1
16.04,Jayce,top,1,0,1,0,0,0
16.04,Jhin,bot,1,0,1,0,0,0
16.04,Jinx,bot,1,0,1,0,0,0
16.04,Karma,sup,0,1,1,0,1,1
16.04,Karthus,jng,1,0,1,0,0,0
16.04,Kassadin,mid,0,1,1,0,0,0
16.04,Lulu,sup,1,0,1,1,0,1
16.04,Nami,sup,1,0,1,1,0,1
16.04,Qiyana,jng,1,0,1,0,0,0
16.04,Rakan,sup,1,0,1,0,0,0
16.04,Rek'Sai,jng,1,0,1,1,0,1
16.04,Sion,top,1,0,1,0,0,0
16.04,Sivir,bot,1,0,1,1,0,1
16.04,Yasuo,mid,1,0,1,0,0,0
16.04,Yorick,top,0,1,1,0,0,0
16.04,Zaahen,jng,1,0,1,0,0,0
16.08,Gnar,top,1,1,2,1,1,2
16.08,Jarvan IV,jng,1,1,2,1,1,2
16.08,Jayce,top,0,2,2,0,2,2
16.08,Ambessa,top,0,1,1,0,1,1
16.08,Aurora,mid,0,1,1,0,1,1
16.08,Corki,bot,1,0,1,1,0,1
16.08,Ezreal,bot,1,0,1,1,0,1
16.08,Gwen,top,1,0,1,1,0,1
16.08,Karma,sup,1,0,1,1,0,1
16.08,Nami,sup,1,0,1,1,0,1
16.08,Nautilus,sup,0,1,1,0,1,1
16.08,Orianna,mid,0,1,1,0,1,1
16.08,Pantheon,jng,1,0,1,1,0,1
16.08,Rumble,top,0,1,1,0,1,1
16.08,Ryze,mid,1,0,1,1,0,1
16.08,Viktor,mid,1,0,1,1,0,1
16.08,Wukong,jng,0,1,1,0,1,1
16.09,Karma,sup,0,4,4,0,4,4
16.09,Ryze,mid,2,2,4,2,2,4
16.09,Gnar,top,2,1,3,2,1,3
16.09,Naafiri,jng,2,1,3,2,1,3
16.09,Xin Zhao,jng,2,1,3,2,1,3
16.09,Yunara,bot,2,1,3,2,1,3
16.09,Ezreal,bot,2,0,2,2,0,2
16.09,Lulu,sup,2,0,2,2,0,2
16.09,Nami,sup,1,1,2,1,1,2
16.09,Nautilus,sup,2,0,2,2,0,2
16.09,Orianna,mid,1,1,2,1,1,2
16.09,Ahri,mid,0,1,1,0,1,1
16.09,Ambessa,top,1,0,1,1,0,1
16.09,Aurora,top,1,0,1,1,0,1
16.09,Bard,sup,0,1,1,0,1,1
16.09,Corki,bot,0,1,1,0,1,1
16.09,Gwen,top,0,1,1,0,1,1
16.09,Jax,top,0,1,1,0,1,1
16.09,Jayce,top,0,1,1,0,1,1
16.09,K'Sante,top,0,1,1,0,1,1
16.09,Lucian,bot,1,0,1,1,0,1
16.09,Nocturne,jng,0,1,1,0,1,1
16.09,Ornn,top,0,1,1,0,1,1
16.09,Pantheon,jng,0,1,1,0,1,1
16.09,Rumble,top,1,0,1,1,0,1
16.09,Shyvana,top,0,1,1,0,1,1
16.09,Skarner,jng,1,0,1,1,0,1
16.09,Taliyah,mid,1,0,1,1,0,1
16.09,Vayne,top,0,1,1,0,1,1
16.09,Viktor,mid,1,0,1,1,0,1
16.09,Wukong,jng,0,1,1,0,1,1
