patch,champ,role,picks_vs,bans_vs
16.06,Dr. Mundo,jng,0,2
16.06,Nocturne,jng,1,1
16.06,Ahri,mid,1,0
16.06,Ambessa,top,0,1
16.06,Aurora,mid,0,1
16.06,Jarvan IV,jng,0,1
16.06,Karma,sup,1,0
16.06,Kennen,top,1,0
16.06,LeBlanc,mid,0,1
16.06,Lulu,sup,1,0
16.06,Mel,mid,1,0
16.06,Nautilus,sup,0,1
16.06,Orianna,mid,0,1
16.06,Pantheon,jng,1,0
16.06,Sion,top,1,0
16.06,Sivir,bot,1,0
16.06,Xin Zhao,jng,0,1
16.06,Yunara,bot,1,0
16.07,Fiora,top,0,3
16.07,Jarvan IV,jng,0,3
16.07,Orianna,mid,1,2
16.07,Ashe,bot,0,2
16.07,Corki,bot,2,0
16.07,Nami,sup,2,0
16.07,Nautilus,sup,1,1
16.07,Xin Zhao,jng,2,0
16.07,Aatrox,top,1,0
16.07,Aatrox,jng,1,0
16.07,Ahri,mid,1,0
16.07,Alistar,sup,1,0
16.07,Anivia,mid,1,0
16.07,Caitlyn,bot,1,0
16.07,Gnar,top,1,0
16.07,Gwen,top,1,0
16.07,Jax,top,0,1
16.07,Jhin,bot,1,0
16.07,Karma,sup,0,1
16.07,Olaf,top,0,1
16.07,Pantheon,top,1,0
16.07,Rumble,top,0,1
16.07,Vi,jng,0,1
16.07,Viktor,mid,1,0
16.07,Wukong,jng,1,0
16.08,Fiora,top,0,6
16.08,Ryze,mid,2,2
16.08,Corki,bot,0,3
16.08,Xin Zhao,jng,1,2
16.08,Yunara,bot,1,2
16.08,Ambessa,top,1,1
16.08,Dr. Mundo,jng,2,0
16.08,Gnar,top,0,2
16.08,Jarvan IV,jng,1,1
16.08,Jayce,top,2,0
16.08,LeBlanc,mid,0,2
16.08,Pantheon,jng,1,1
16.08,Varus,bot,0,2
16.08,Akali,mid,1,0
16.08,Ashe,bot,1,0
16.08,Aurora,mid,0,1
16.08,Bard,sup,1,0
16.08,Braum,sup,1,0
16.08,Caitlyn,bot,1,0
16.08,Ezreal,bot,1,0
16.08,Galio,mid,1,0
16.08,Jhin,bot,1,0
16.08,Jinx,bot,0,1
16.08,K'Sante,top,1,0
16.08,Lulu,sup,1,0
16.08,Nautilus,sup,1,0
16.08,Orianna,mid,0,1
16.08,Ornn,top,1,0
16.08,Poppy,sup,1,0
16.08,Rumble,top,1,0
16.08,Seraphine,sup,1,0
16.08,Sion,top,0,1
16.08,Sivir,bot,1,0
16.08,Skarner,jng,0,1
16.08,Sylas,mid,1,0
16.08,Vi,jng,1,0
16.08,Viktor,mid,0,1
16.08,Zed,mid,1,0
16.09,Akali,mid,0,2
16.09,Fiora,top,0,2
16.09,Jarvan IV,jng,0,2
16.09,Orianna,mid,0,2
16.09,Rumble,top,1,1
16.09,Aurora,mid,0,1
16.09,Dr. Mundo,jng,1,0
16.09,Ezreal,bot,1,0
16.09,Gwen,top,1,0
16.09,Hwei,mid,1,0
16.09,Karma,sup,1,0
16.09,Lucian,bot,1,0
16.09,Xin Zhao,jng,1,0
16.09,Yuumi,sup,1,0
16.09,Zed,mid,1,0
