patch,champ,role,picks_by,bans_vs,series_presence
16.01,Nautilus,sup,0,4,4
16.01,Ambessa,top,1,1,2
16.01,Aphelios,bot,1,1,2
16.01,Azir,mid,1,1,2
16.01,Jayce,top,0,2,2
16.01,K'Sante,top,1,1,2
16.01,Kai'Sa,bot,2,0,2
16.01,Malphite,jng,0,2,2
16.01,Orianna,mid,0,2,2
16.01,Ryze,mid,1,1,2
16.01,Taliyah,mid,2,0,2
16.01,Vi,jng,2,0,2
16.01,Alistar,sup,1,0,1
16.01,Braum,sup,0,1,1
16.01,Draven,bot,0,1,1
16.01,Ezreal,bot,1,0,1
16.01,Gnar,top,1,0,1
16.01,Leona,sup,1,0,1
16.01,Lulu,sup,1,0,1
16.01,Neeko,sup,0,1,1
16.01,Nocturne,jng,1,0,1
16.01,Rakan,sup,1,0,1
16.01,Rell,sup,0,1,1
16.01,Rumble,top,1,0,1
16.01,Xin Zhao,jng,1,0,1
16.01,Yunara,bot,0,1,1
16.03,Ryze,mid,1,3,4
16.03,Vi,jng,2,2,4
16.03,Varus,bot,1,2,3
16.03,Alistar,sup,1,1,2
16.03,Azir,mid,2,0,2
16.03,Corki,bot,2,0,2
16.03,Jarvan IV,jng,0,2,2
16.03,Orianna,mid,0,2,2
16.03,Rumble,top,1,1,2
16.03,Taliyah,mid,0,2,2
16.03,Aatrox,top,1,0,1
16.03,Akali,mid,1,0,1
16.03,Ambessa,top,1,0,1
16.03,Braum,sup,1,0,1
16.03,Dr. Mundo,jng,1,0,1
16.03,Gnar,top,1,0,1
16.03,Gwen,top,0,1,1
16.03,Kai'Sa,bot,0,1,1
16.03,Lucian,bot,1,0,1
16.03,Nami,sup,1,0,1
16.03,Nautilus,sup,0,1,1
16.03,Rakan,sup,1,0,1
16.03,Renekton,top,0,1,1
16.03,Wukong,jng,1,0,1
16.03,Xin Zhao,jng,0,1,1
16.04,Azir,mid,0,3,1
16.04,Ambessa,top,1,1,1
16.04,Rumble,top,0,2,1
16.04,Varus,bot,1,1,1
16.04,Ahri,mid,1,0,1
16.04,Alistar,sup,1,0,1
16.04,Aurora,mid,0,1,1
16.04,Darius,top,0,1,1
16.04,Darius,jng,1,0,1
16.04,Ezreal,bot,1,0,1
16.04,Galio,mid,1,0,1
16.04,Kalista,bot,1,0,1
16.04,Karma,sup,0,1,1
16.04,Leona,sup,1,0,1
16.04,Lulu,sup,0,1,1
16.04,Naafiri,jng,0,1,1
16.04,Neeko,sup,0,1,1
16.04,Nocturne,jng,0,1,1
16.04,Rell,sup,0,1,1
16.04,Renata Glasc,sup,1,0,1
16.04,Renekton,top,1,0,1
16.04,Ryze,mid,1,0,1
16.04,Sion,top,1,0,1
16.04,Vi,jng,1,0,1
16.04,Xin Zhao,jng,1,0,1
16.06,Azir,mid,1,2,3
16.06,Ezreal,bot,2,0,2
16.06,Jarvan IV,jng,1,1,2
16.06,K'Sante,top,2,0,2
16.06,Karma,sup,1,1,2
16.06,Pantheon,jng,1,1,2
16.06,Sion,top,1,1,2
16.06,Anivia,mid,1,0,1
16.06,Bard,sup,1,0,1
16.06,Gwen,top,0,1,1
16.06,Jayce,top,0,1,1
16.06,Lulu,sup,1,0,1
16.06,Mel,mid,0,1,1
16.06,Nautilus,sup,0,1,1
16.06,Orianna,mid,0,1,1
16.06,Rumble,top,0,1,1
16.06,Ryze,mid,0,1,1
16.06,Seraphine,sup,0,1,1
16.06,Vi,jng,0,1,1
16.06,Viktor,mid,1,0,1
16.06,Xin Zhao,jng,1,0,1
16.06,Yunara,bot,1,0,1
16.07,Ryze,mid,2,4,6
16.07,Orianna,mid,0,5,5
16.07,Pantheon,jng,1,4,5
16.07,Vi,jng,2,2,4
16.07,Aatrox,jng,0,3,3
16.07,Ashe,bot,3,0,3
16.07,Azir,mid,1,2,3
16.07,Rumble,top,3,0,3
16.07,Seraphine,sup,3,0,3
16.07,Ahri,mid,2,0,2
16.07,Bard,sup,2,0,2
16.07,Sivir,bot,0,2,2
16.07,Yunara,bot,1,1,2
16.07,Ambessa,top,0,1,1
16.07,Corki,bot,1,0,1
16.07,Ezreal,bot,0,1,1
16.07,Jhin,bot,0,1,1
16.07,K'Sante,top,0,1,1
16.07,Kai'Sa,bot,1,0,1
16.07,Lulu,sup,0,1,1
16.07,Malphite,jng,0,1,1
16.07,Neeko,sup,1,0,1
16.07,Sion,top,1,0,1
16.07,Skarner,jng,1,0,1
16.07,Varus,bot,0,1,1
16.07,Viktor,mid,1,0,1
16.07,Wukong,jng,1,0,1
16.07,Xin Zhao,jng,1,0,1
16.07,Yorick,top,1,0,1
16.07,Zaahen,top,1,0,1
16.08,Azir,mid,1,3,2
16.08,Ambessa,top,1,2,2
16.08,Bard,sup,1,2,2
16.08,Orianna,mid,0,3,2
16.08,Rumble,top,0,3,2
16.08,Ahri,mid,1,1,2
16.08,Aurora,mid,2,0,2
16.08,Caitlyn,bot,0,2,1
16.08,K'Sante,top,2,0,2
16.08,Lucian,bot,1,1,2
16.08,Lulu,sup,2,0,2
16.08,Pantheon,jng,1,1,2
16.08,Vi,jng,2,0,2
16.08,Ashe,bot,1,0,1
16.08,Dr. Mundo,jng,1,0,1
16.08,Draven,bot,1,0,1
16.08,Galio,mid,0,1,1
16.08,Gnar,top,0,1,1
16.08,Gwen,top,1,0,1
16.08,Jhin,bot,1,0,1
16.08,Jinx,bot,0,1,1
16.08,Kog'Maw,bot,0,1,1
16.08,LeBlanc,mid,0,1,1
16.08,Milio,sup,1,0,1
16.08,Nami,sup,1,0,1
16.08,Nautilus,sup,0,1,1
16.08,Nocturne,jng,1,0,1
16.08,Renekton,top,1,0,1
16.08,Ryze,mid,1,0,1
16.08,Viktor,mid,0,1,1
16.08,Yunara,bot,1,0,1
16.09,Lucian,bot,0,3,1
16.09,Nocturne,jng,1,2,2
16.09,Pantheon,jng,0,3,1
16.09,Vi,jng,0,3,2
16.09,Aurora,mid,1,1,2
16.09,Jayce,top,0,2,1
16.09,Naafiri,jng,1,1,2
16.09,Nami,sup,1,1,1
16.09,Orianna,mid,0,2,1
16.09,Viktor,mid,2,0,2
16.09,Aatrox,jng,0,1,1
16.09,Ahri,mid,0,1,1
16.09,Ambessa,top,1,0,1
16.09,Annie,mid,1,0,1
16.09,Ashe,bot,0,1,1
16.09,Azir,mid,1,0,1
16.09,Bard,sup,1,0,1
16.09,Caitlyn,bot,1,0,1
16.09,Corki,bot,1,0,1
16.09,Ezreal,bot,1,0,1
16.09,Gnar,top,1,0,1
16.09,Jarvan IV,jng,1,0,1
16.09,Jayce,jng,1,0,1
16.09,Kai'Sa,bot,1,0,1
16.09,Karma,sup,1,0,1
16.09,LeBlanc,mid,0,1,1
16.09,Lissandra,mid,0,1,1
16.09,Lulu,sup,1,0,1
16.09,Nautilus,sup,0,1,1
16.09,Neeko,sup,1,0,1
16.09,Ornn,top,1,0,1
16.09,Rumble,top,1,0,1
16.09,Ryze,mid,0,1,1
16.09,Xin Zhao,jng,1,0,1
16.09,Yorick,top,1,0,1
16.09,Yunara,bot,1,0,1
