patch,champ,role,picks_by,bans_vs
16.01,Nautilus,sup,1,3
16.01,Ambessa,top,0,3
16.01,K'Sante,top,1,2
16.01,Orianna,mid,1,2
16.01,Qiyana,jng,1,2
16.01,Ryze,mid,2,1
16.01,Alistar,sup,2,0
16.01,Aphelios,bot,1,1
16.01,Azir,mid,1,1
16.01,Bard,sup,0,2
16.01,Corki,bot,2,0
16.01,Jayce,jng,2,0
16.01,Nocturne,jng,0,2
16.01,Renekton,top,2,0
16.01,Rumble,top,1,1
16.01,Sion,top,1,1
16.01,Sylas,mid,0,2
16.01,Varus,bot,2,0
16.01,Xin Zhao,jng,1,1
16.01,Dr. Mundo,jng,1,0
16.01,Jarvan IV,jng,0,1
16.01,Jax,top,1,0
16.01,Jayce,top,0,1
16.01,LeBlanc,mid,1,0
16.01,Lee Sin,jng,1,0
16.01,Leona,sup,0,1
16.01,Malphite,jng,0,1
16.01,Miss Fortune,bot,1,0
16.01,Nami,sup,1,0
16.01,Neeko,sup,0,1
16.01,Rell,sup,1,0
16.01,Syndra,mid,1,0
16.01,Thresh,sup,1,0
16.01,Wukong,jng,0,1
16.02,Varus,bot,1,5
16.02,Aurora,mid,4,0
16.02,Azir,mid,2,2
16.02,Jarvan IV,jng,1,3
16.02,K'Sante,top,3,1
16.02,Malphite,jng,0,4
16.02,Nocturne,jng,1,3
16.02,Pantheon,jng,3,1
16.02,Renekton,top,3,1
16.02,Ryze,mid,0,4
16.02,Bard,sup,1,2
16.02,Corki,bot,3,0
16.02,Orianna,mid,1,2
16.02,Rumble,top,1,2
16.02,Dr. Mundo,jng,2,0
16.02,Jayce,top,0,2
16.02,Miss Fortune,bot,2,0
16.02,Neeko,sup,1,1
16.02,Qiyana,jng,1,1
16.02,Rell,sup,2,0
16.02,Sivir,bot,1,1
16.02,Sylas,mid,0,2
16.02,Wukong,jng,1,1
16.02,Ahri,mid,0,1
16.02,Gwen,top,0,1
16.02,Jayce,mid,1,0
16.02,Leona,sup,1,0
16.02,Nami,sup,1,0
16.02,Nautilus,sup,1,0
16.02,Poppy,sup,0,1
16.02,Rakan,sup,1,0
16.02,Rek'Sai,top,1,0
16.02,Renata Glasc,sup,1,0
16.02,Sion,top,1,0
16.02,Smolder,bot,1,0
16.02,Syndra,mid,0,1
16.02,Vi,jng,0,1
16.02,Viktor,mid,1,0
16.02,Xin Zhao,jng,0,1
16.02,Yunara,bot,0,1
16.02,Ziggs,bot,1,0
16.07,Nocturne,jng,0,4
16.07,Rumble,top,1,3
16.07,Akali,mid,1,2
16.07,Ashe,bot,0,3
16.07,Jarvan IV,jng,1,1
