patch,champ,role,picks_by,bans_vs,series_presence
16.01,Neeko,sup,0,5,2
16.01,Karma,sup,1,3,2
16.01,Miss Fortune,bot,2,2,3
16.01,Caitlyn,bot,1,2,2
16.01,Jax,top,2,1,3
16.01,Jayce,top,0,3,2
16.01,Nautilus,sup,1,2,2
16.01,Orianna,mid,1,2,2
16.01,Poppy,sup,0,3,2
16.01,Varus,bot,1,2,2
16.01,Vi,jng,2,1,2
16.01,Ahri,mid,2,0,2
16.01,Ambessa,top,2,0,2
16.01,Dr. Mundo,jng,2,0,2
16.01,K'Sante,top,2,0,2
16.01,LeBlanc,mid,0,2,1
16.01,Qiyana,jng,1,1,2
16.01,Rell,sup,2,0,2
16.01,Renata Glasc,sup,1,1,2
16.01,Ryze,mid,2,0,2
16.01,Sivir,bot,1,1,1
16.01,Sylas,mid,0,2,1
16.01,Alistar,sup,0,1,1
16.01,Anivia,mid,1,0,1
16.01,Aphelios,bot,1,0,1
16.01,Bard,sup,1,0,1
16.01,Braum,sup,1,0,1
16.01,Corki,bot,0,1,1
16.01,Draven,bot,1,0,1
16.01,Jarvan IV,jng,1,0,1
16.01,Lulu,sup,1,0,1
16.01,Malphite,jng,0,1,1
16.01,Nocturne,jng,1,0,1
16.01,Syndra,mid,1,0,1
16.01,Taliyah,mid,1,0,1
16.01,Thresh,sup,0,1,1
16.01,Trundle,jng,0,1,1
16.01,Udyr,top,1,0,1
16.01,Wukong,jng,1,0,1
16.01,Xin Zhao,jng,0,1,1
16.01,Yunara,bot,1,0,1
16.01,Zaahen,top,1,0,1
16.01,Zyra,jng,0,1,1
16.02,Ambessa,top,1,4,2
16.02,Varus,bot,1,4,3
16.02,Karma,sup,1,3,2
16.02,Neeko,sup,0,4,3
16.02,Nocturne,jng,2,2,3
16.02,Poppy,sup,0,4,2
16.02,Ahri,mid,1,2,3
16.02,Draven,bot,3,0,3
16.02,Jax,top,1,2,2
16.02,Nautilus,sup,2,1,3
16.02,Udyr,top,0,3,2
16.02,Wukong,jng,2,1,3
16.02,Akali,mid,0,2,1
16.02,Alistar,sup,1,1,2
16.02,Anivia,mid,0,2,1
16.02,Aurora,mid,0,2,2
16.02,Corki,bot,2,0,2
16.02,Gwen,top,2,0,2
16.02,Jayce,top,0,2,2
16.02,K'Sante,top,2,0,2
16.02,Nami,sup,2,0,2
16.02,Orianna,mid,0,2,2
16.02,Ryze,mid,2,0,2
16.02,Vi,jng,1,1,2
16.02,Viktor,mid,2,0,2
16.02,Xin Zhao,jng,2,0,2
16.02,Ashe,bot,1,0,1
16.02,Azir,mid,1,0,1
16.02,Braum,sup,1,0,1
16.02,Caitlyn,bot,1,0,1
16.02,Dr. Mundo,jng,1,0,1
16.02,Lulu,sup,0,1,1
16.02,Miss Fortune,bot,0,1,1
16.02,Poppy,jng,1,0,1
16.02,Rek'Sai,top,1,0,1
16.02,Renata Glasc,sup,1,0,1
16.02,Rumble,top,1,0,1
16.02,Seraphine,sup,1,0,1
16.02,Sion,top,1,0,1
16.02,Sivir,bot,1,0,1
16.02,Sylas,mid,0,1,1
16.02,Syndra,mid,1,0,1
16.02,Taliyah,mid,1,0,1
16.02,Yone,mid,1,0,1
16.07,Draven,bot,0,3,1
16.07,Nocturne,jng,0,3,1
16.07,Ryze,mid,0,3,1
16.07,Corki,bot,1,1,1
16.07,Orianna,mid,0,2,1
16.07,Ahri,mid,1,0,1
16.07,Akali,mid,1,0,1
16.07,Aphelios,bot,1,0,1
16.07,Ashe,bot,0,1,1
16.07,Aurora,mid,1,0,1
16.07,Dr. Mundo,jng,1,0,1
16.07,Gnar,top,1,0,1
16.07,Jayce,top,1,0,1
16.07,Lulu,sup,1,0,1
16.07,Naafiri,jng,1,0,1
16.07,Nami,sup,1,0,1
16.07,Poppy,sup,0,1,1
16.07,Rumble,top,1,0,1
16.07,Thresh,sup,1,0,1
16.07,Vi,jng,1,0,1
16.07,Wukong,jng,0,1,1
16.07,Yunara,bot,1,0,1
16.08,Nocturne,jng,1,5,3
16.08,Varus,bot,0,5,3
16.08,Bard,sup,2,2,3
16.08,Orianna,mid,1,3,2
16.08,Skarner,jng,2,2,3
16.08,Akali,mid,1,2,2
16.08,Karma,sup,0,3,2
16.08,Lucian,bot,2,1,2
16.08,Ahri,mid,1,1,2
16.08,Gnar,top,2,0,2
16.08,Jayce,top,1,1,2
16.08,Lulu,sup,1,1,2
16.08,Nami,sup,1,1,2
16.08,Ryze,mid,1,1,2
16.08,Annie,mid,0,1,1
16.08,Ashe,bot,0,1,1
16.08,Azir,mid,1,0,1
16.08,Caitlyn,bot,1,0,1
16.08,Corki,bot,1,0,1
16.08,Draven,bot,1,0,1
16.08,Ezreal,bot,1,0,1
16.08,Jarvan IV,jng,1,0,1
16.08,Malphite,jng,1,0,1
16.08,Milio,sup,1,0,1
16.08,Naafiri,jng,0,1,1
16.08,Nautilus,sup,1,0,1
16.08,Rell,sup,1,0,1
16.08,Renekton,top,1,0,1
16.08,Rumble,top,1,0,1
16.08,Sion,top,1,0,1
16.08,Syndra,mid,1,0,1
16.08,Trundle,jng,1,0,1
16.08,Twisted Fate,mid,0,1,1
16.08,Vayne,top,0,1,1
16.08,Vi,jng,0,1,1
16.08,Xin Zhao,jng,1,0,1
16.08,Yone,mid,0,1,1
16.08,Yorick,top,1,0,1
16.08,Yunara,bot,1,0,1
16.08,Ziggs,mid,1,0,1
16.09,Akali,mid,0,2,1
16.09,Varus,bot,0,2,1
16.09,Anivia,mid,1,0,1
16.09,Jayce,top,0,1,1
16.09,Lucian,bot,1,0,1
16.09,Milio,sup,1,0,1
16.09,Miss Fortune,bot,1,0,1
16.09,Nautilus,sup,1,0,1
16.09,Nocturne,jng,0,1,1
16.09,Rumble,top,1,0,1
16.09,Ryze,mid,1,0,1
16.09,Skarner,jng,1,0,1
16.09,Twisted Fate,top,1,0,1
16.09,Vayne,top,0,1,1
16.09,Vi,jng,0,1,1
16.09,Wukong,jng,1,0,1
16.09,Xin Zhao,jng,0,1,1
16.09,Yone,mid,0,1,1
16.10,Akali,mid,1,0,1
16.10,Anivia,mid,1,0,1
16.10,Ashe,bot,1,0,1
16.10,Caitlyn,bot,1,0,1
16.10,Corki,bot,1,0,1
16.10,Draven,bot,1,0,1
16.10,Elise,sup,1,0,1
16.10,Galio,mid,1,0,1
16.10,Gnar,top,1,0,1
16.10,Jayce,jng,1,0,1
16.10,Lee Sin,jng,1,0,1
16.10,Maokai,jng,1,0,1
16.10,Miss Fortune,bot,1,0,1
16.10,Naafiri,jng,1,0,1
16.10,Nami,sup,1,0,1
16.10,Nautilus,sup,1,0,1
16.10,Poppy,top,1,0,1
16.10,Rumble,top,1,0,1
16.10,Ryze,mid,1,0,1
16.10,Seraphine,sup,1,0,1
16.10,Thresh,sup,1,0,1
16.10,Trundle,jng,1,0,1
16.10,Vayne,mid,1,0,1
16.10,Yorick,top,1,0,1
16.10,Zaahen,top,1,0,1
