patch,champ,role,picks_by,bans_vs,series_presence
16.01,K'Sante,top,2,1,3
16.01,Wukong,jng,2,1,3
16.01,Bard,sup,1,1,2
16.01,Malphite,jng,0,2,2
16.01,Neeko,sup,1,1,2
16.01,Taliyah,mid,0,2,2
16.01,Aurora,top,1,0,1
16.01,Azir,mid,1,0,1
16.01,Caitlyn,bot,0,1,1
16.01,Cassiopeia,mid,1,0,1
16.01,Corki,bot,1,0,1
16.01,Ezreal,bot,1,0,1
16.01,Nautilus,sup,0,1,1
16.01,Qiyana,jng,0,1,1
16.01,Rakan,sup,0,1,1
16.01,Rell,sup,1,0,1
16.01,Renekton,top,0,1,1
16.01,Ryze,mid,1,0,1
16.01,Sylas,mid,0,1,1
16.01,Varus,bot,1,0,1
16.01,Vi,jng,1,0,1
16.01,Yunara,bot,0,1,1
16.02,Neeko,sup,1,4,5
16.02,Vi,jng,2,2,4
16.02,Azir,mid,2,1,3
16.02,K'Sante,top,3,0,3
16.02,Rumble,top,1,2,3
16.02,Varus,bot,0,3,3
16.02,Bard,sup,0,2,2
16.02,Cassiopeia,mid,1,1,2
16.02,Gnar,top,0,2,2
16.02,Malphite,jng,1,1,2
16.02,Nautilus,sup,1,1,2
16.02,Poppy,sup,0,2,2
16.02,Rell,sup,1,1,2
16.02,Taliyah,mid,1,1,2
16.02,Wukong,jng,0,2,2
16.02,Alistar,sup,0,1,1
16.02,Ambessa,top,0,1,1
16.02,Aurora,mid,0,1,1
16.02,Corki,bot,1,0,1
16.02,Dr. Mundo,jng,0,1,1
16.02,Ezreal,bot,1,0,1
16.02,Jhin,bot,1,0,1
16.02,Kai'Sa,bot,1,0,1
16.02,Karma,sup,1,0,1
16.02,Lucian,bot,1,0,1
16.02,Nami,sup,1,0,1
16.02,Nidalee,top,1,0,1
16.02,Nocturne,jng,1,0,1
16.02,Orianna,mid,1,0,1
16.02,Rakan,sup,1,0,1
16.02,Rek'Sai,top,1,0,1
16.02,Sivir,bot,1,0,1
16.02,Skarner,jng,1,0,1
16.02,Swain,mid,1,0,1
16.02,Xin Zhao,jng,1,0,1
16.02,Yunara,bot,0,1,1
16.03,Alistar,sup,2,0,2
16.03,Cassiopeia,mid,0,2,2
16.03,Yunara,bot,2,0,2
16.03,Ambessa,top,1,0,1
16.03,Azir,mid,1,0,1
16.03,Bard,sup,0,1,1
16.03,Jarvan IV,jng,0,1,1
16.03,K'Sante,top,0,1,1
16.03,Nautilus,sup,0,1,1
16.03,Neeko,sup,0,1,1
16.03,Rek'Sai,top,1,0,1
16.03,Renekton,top,0,1,1
16.03,Skarner,jng,1,0,1
16.03,Taliyah,mid,1,0,1
16.03,Varus,bot,0,1,1
16.03,Vi,jng,0,1,1
16.03,Wukong,jng,1,0,1
16.07,Ryze,mid,1,4,3
16.07,Jarvan IV,jng,2,2,3
16.07,Aurora,mid,1,2,2
16.07,Azir,mid,1,2,2
16.07,Karma,sup,2,1,2
16.07,Varus,bot,1,2,3
16.07,Vi,jng,1,2,2
16.07,Cassiopeia,mid,0,2,2
16.07,Gnar,top,1,1,2
16.07,Jayce,top,2,0,2
16.07,Lulu,sup,2,0,2
16.07,Nautilus,sup,1,1,2
16.07,Orianna,mid,0,2,2
16.07,Renekton,top,1,1,2
16.07,Viktor,mid,2,0,2
16.07,Yunara,bot,2,0,2
16.07,Zaahen,top,2,0,2
16.07,Ahri,mid,1,0,1
16.07,Ambessa,top,0,1,1
16.07,Ambessa,jng,1,0,1
