patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.01,Zed,mid,0,8,7,0,7,7
16.01,Ambessa,top,1,4,5,1,4,5
16.01,Azir,mid,2,2,4,2,2,4
16.01,Bel'Veth,jng,0,4,3,0,3,3
16.01,Yunara,bot,2,2,4,2,2,4
16.01,Akali,mid,1,2,3,1,2,3
16.01,Caitlyn,bot,2,1,3,2,1,3
16.01,Corki,bot,2,1,3,2,0,2
16.01,Jax,top,2,1,3,2,1,3
16.01,Malphite,jng,0,3,2,0,2,2
16.01,Nautilus,sup,3,0,3,3,0,3
16.01,Orianna,mid,1,2,3,1,2,3
16.01,Renekton,top,3,0,3,3,0,3
16.01,Trundle,jng,2,1,3,2,1,3
16.01,Viktor,mid,3,0,3,3,0,3
16.01,Aatrox,jng,0,2,2,0,2,2
16.01,Alistar,sup,2,0,2,2,0,2
16.01,Aphelios,bot,1,1,2,1,1,2
16.01,Gwen,top,1,1,2,1,1,2
16.01,Lulu,sup,0,2,2,0,2,2
16.01,Neeko,sup,1,1,2,1,1,2
16.01,Sejuani,jng,2,0,2,2,0,2
16.01,Syndra,mid,2,0,2,1,0,1
16.01,Wukong,jng,2,0,2,1,0,1
16.01,Aatrox,top,1,0,1,0,0,0
16.01,Braum,sup,0,1,1,0,1,1
16.01,Dr. Mundo,jng,1,0,1,1,0,1
16.01,Ekko,mid,0,1,1,0,1,1
16.01,Ezreal,bot,0,1,1,0,0,0
16.01,Fiora,top,0,1,1,0,1,1
16.01,Jarvan IV,jng,1,0,1,1,0,1
16.01,K'Sante,top,1,0,1,1,0,1
16.01,Kai'Sa,bot,0,1,1,0,1,1
16.01,Leona,sup,1,0,1,0,0,0
16.01,Nami,sup,0,1,1,0,1,1
16.01,Rakan,sup,1,0,1,1,0,1
16.01,Rell,sup,1,0,1,1,0,1
16.01,Sivir,bot,1,0,1,1,0,1
16.01,Tristana,bot,1,0,1,0,0,0
16.01,Varus,bot,0,1,1,0,1,1
16.01,Xin Zhao,jng,1,0,1,1,0,1
16.02,Varus,bot,1,3,2,0,1,1
16.02,Volibear,top,0,4,2,0,2,2
16.02,Jarvan IV,jng,2,1,2,1,1,2
16.02,Malphite,jng,1,2,2,1,1,2
16.02,Renekton,top,1,2,2,0,0,0
16.02,Ryze,mid,1,2,1,0,1,1
16.02,Alistar,sup,2,0,2,1,0,1
16.02,Braum,sup,0,2,1,0,1,1
16.02,Caitlyn,bot,1,1,2,0,0,0
16.02,Jax,top,1,1,2,0,0,0
16.02,Karma,sup,1,1,2,0,1,1
16.02,Taliyah,mid,0,2,2,0,0,0
16.02,Zed,mid,0,2,1,0,1,1
16.02,Aatrox,top,1,0,1,1,0,1
16.02,Ahri,mid,1,0,1,0,0,0
16.02,Aphelios,bot,1,0,1,1,0,1
16.02,Azir,mid,1,0,1,1,0,1
16.02,Jinx,bot,1,0,1,0,0,0
16.02,K'Sante,top,1,0,1,1,0,1
16.02,Lulu,sup,1,0,1,1,0,1
16.02,Nautilus,sup,0,1,1,0,1,1
16.02,Neeko,sup,0,1,1,0,0,0
16.02,Orianna,mid,1,0,1,1,0,1
16.02,Pantheon,jng,1,0,1,0,0,0
16.02,Rakan,sup,1,0,1,0,0,0
16.02,Sejuani,jng,1,0,1,0,0,0
16.02,Swain,mid,1,0,1,0,0,0
16.02,Yone,top,1,0,1,0,0,0
16.02,Yunara,bot,1,0,1,1,0,1
16.03,Ambessa,top,0,6,2,0,2,2
16.03,Neeko,sup,1,5,2,0,1,1
16.03,Vi,jng,1,5,2,1,1,2
16.03,Aatrox,jng,0,4,1,0,1,1
16.03,Varus,bot,1,3,2,0,1,1
16.03,Alistar,sup,0,3,1,0,1,1
16.03,Azir,mid,1,1,2,0,1,1
16.03,Caitlyn,bot,2,0,2,2,0,2
16.03,Corki,bot,1,1,2,0,0,0
16.03,Gnar,top,0,2,1,0,0,0
16.03,K'Sante,top,1,1,1,0,1,1
16.03,Karma,sup,2,0,2,2,0,2
16.03,Kennen,top,1,1,2,0,0,0
16.03,Nautilus,sup,0,2,1,0,1,1
16.03,Orianna,mid,1,1,1,0,0,0
16.03,Rell,sup,1,1,2,0,0,0
16.03,Renekton,top,2,0,2,1,0,1
16.03,Sejuani,jng,2,0,2,0,0,0
16.03,Taliyah,mid,2,0,2,1,0,1
16.03,Trundle,jng,2,0,2,1,0,1
16.03,Yone,mid,2,0,2,0,0,0
16.03,Akali,mid,0,1,1,0,0,0
16.03,Bard,sup,1,0,1,0,0,0
16.03,Braum,sup,1,0,1,0,0,0
16.03,Ezreal,bot,0,1,1,0,0,0
16.03,Galio,mid,1,0,1,1,0,1
16.03,Gwen,top,1,0,1,1,0,1
16.03,Jarvan IV,jng,1,0,1,0,0,0
16.03,Jayce,top,0,1,1,0,0,0
16.03,Jhin,bot,1,0,1,0,0,0
16.03,Kai'Sa,bot,1,0,1,0,0,0
16.03,Maokai,sup,1,0,1,0,0,0
16.03,Miss Fortune,bot,1,0,1,0,0,0
16.03,Nami,sup,1,0,1,0,0,0
16.03,Nocturne,jng,1,0,1,0,0,0
16.03,Ornn,top,1,0,1,0,0,0
16.03,Riven,top,1,0,1,0,0,0
16.03,Ryze,mid,0,1,1,0,0,0
16.03,Sivir,bot,1,0,1,0,0,0
16.03,Viktor,mid,1,0,1,0,0,0
16.03,Xin Zhao,jng,1,0,1,0,0,0
16.03,Zaahen,top,1,0,1,0,0,0
16.06,Jarvan IV,jng,0,3,1,0,1,1
16.06,Renekton,top,0,2,1,0,1,1
16.06,Syndra,mid,0,2,1,0,0,0
16.06,Viktor,mid,1,1,1,0,1,1
16.06,Aatrox,top,1,0,1,0,0,0
16.06,Akali,mid,0,1,1,0,0,0
16.06,Ambessa,top,0,1,1,0,0,0
16.06,Aurora,mid,1,0,1,0,0,0
16.06,Azir,mid,1,0,1,1,0,1
16.06,Corki,bot,1,0,1,0,0,0
16.06,Dr. Mundo,jng,1,0,1,0,0,0
16.06,Gnar,top,1,0,1,1,0,1
16.06,Karma,sup,1,0,1,0,0,0
16.06,LeBlanc,mid,0,1,1,0,0,0
16.06,Lulu,sup,0,1,1,0,1,1
16.06,Mel,mid,0,1,1,0,0,0
16.06,Nami,sup,1,0,1,0,0,0
16.06,Neeko,sup,0,1,1,0,1,1
16.06,Rakan,sup,1,0,1,1,0,1
16.06,Ryze,mid,0,1,1,0,0,0
16.06,Sion,top,1,0,1,0,0,0
16.06,Sivir,bot,1,0,1,1,0,1
16.06,Trundle,jng,1,0,1,0,0,0
16.06,Vi,jng,1,0,1,1,0,1
16.06,Yunara,bot,1,0,1,0,0,0
16.07,Azir,mid,2,1,2,1,1,2
16.07,Vi,jng,0,3,2,0,1,1
16.07,Caitlyn,bot,0,2,1,0,1,1
16.07,Dr. Mundo,jng,0,2,1,0,1,1
16.07,K'Sante,top,2,0,2,1,0,1
16.07,Karma,sup,1,1,2,1,0,1
16.07,Nami,sup,2,0,2,1,0,1
16.07,Renekton,top,0,2,1,0,1,1
16.07,Seraphine,sup,1,1,2,0,0,0
16.07,Xin Zhao,jng,2,0,2,1,0,1
16.07,Aatrox,jng,0,1,1,0,0,0
16.07,Ahri,mid,0,1,1,0,1,1
16.07,Akali,mid,0,1,1,0,1,1
16.07,Ashe,bot,1,0,1,0,0,0
16.07,Corki,bot,1,0,1,1,0,1
16.07,Gnar,top,1,0,1,0,0,0
16.07,Gwen,top,0,1,1,0,1,1
16.07,Jarvan IV,jng,1,0,1,1,0,1
16.07,Jax,top,1,0,1,1,0,1
16.07,Lulu,sup,0,1,1,0,0,0
16.07,Mel,mid,1,0,1,1,0,1
16.07,Nocturne,jng,1,0,1,0,0,0
16.07,Ryze,mid,1,0,1,0,0,0
16.07,Trundle,jng,0,1,1,0,1,1
16.07,Varus,bot,1,0,1,1,0,1
16.07,Viktor,mid,0,1,1,0,1,1
16.07,Wukong,jng,0,1,1,0,0,0
16.07,Yunara,bot,1,0,1,0,0,0
16.08,Azir,mid,0,5,2,0,2,2
16.08,Nautilus,sup,1,2,2,0,2,2
16.08,Nocturne,jng,1,2,2,1,1,2
16.08,Varus,bot,0,3,2,0,1,1
16.08,Xin Zhao,jng,2,1,2,1,1,2
16.08,Ashe,bot,2,0,2,2,0,2
16.08,Caitlyn,bot,0,2,1,0,0,0
16.08,Corki,bot,1,1,2,0,0,0
16.08,Renekton,top,2,0,2,0,0,0
16.08,Ryze,mid,2,0,2,1,0,1
16.08,Seraphine,sup,2,0,2,2,0,2
16.08,Vi,jng,0,2,2,0,0,0
16.08,Viktor,mid,1,1,2,1,0,1
16.08,Aatrox,top,1,0,1,1,0,1
16.08,Alistar,sup,1,0,1,0,0,0
