patch,champ,role,picks_by,bans_vs,series_presence
16.01,Bard,sup,1,2,3
16.01,Varus,bot,1,2,2
16.01,Ambessa,top,1,1,2
16.01,Rakan,sup,0,2,2
16.01,Rumble,top,2,0,2
16.01,Wukong,jng,2,0,2
16.01,Akali,mid,1,0,1
16.01,Caitlyn,bot,0,1,1
16.01,Dr. Mundo,jng,1,0,1
16.01,Jax,top,0,1,1
16.01,Jayce,top,0,1,1
16.01,Karma,sup,0,1,1
16.01,Kennen,top,0,1,1
16.01,Lulu,sup,1,0,1
16.01,Malphite,jng,0,1,1
16.01,Neeko,sup,1,0,1
16.01,Poppy,sup,0,1,1
16.01,Ryze,mid,1,0,1
16.01,Sivir,bot,1,0,1
16.01,Sylas,mid,1,0,1
16.01,Yunara,bot,1,0,1
16.01,Zed,mid,0,1,1
16.02,Ambessa,top,2,0,2
16.02,Jayce,top,0,2,2
16.02,Neeko,sup,1,1,2
16.02,Varus,bot,0,2,2
16.02,Cho'Gath,jng,1,0,1
16.02,Gwen,top,0,1,1
16.02,Kai'Sa,bot,1,0,1
16.02,Leona,sup,1,0,1
16.02,Orianna,mid,0,1,1
16.02,Pantheon,jng,1,0,1
16.02,Rumble,top,0,1,1
16.02,Syndra,mid,0,1,1
16.02,Taliyah,mid,1,0,1
16.02,Yunara,bot,1,0,1
16.02,Zed,mid,1,0,1
16.03,Ambessa,top,0,2,2
16.03,Rumble,top,1,1,2
16.03,Taliyah,mid,2,0,2
16.03,Varus,bot,0,2,2
16.03,Aphelios,bot,0,1,1
16.03,Bard,sup,0,1,1
16.03,Caitlyn,bot,0,1,1
16.03,Corki,bot,1,0,1
16.03,Jinx,bot,1,0,1
16.03,K'Sante,top,1,0,1
16.03,Naafiri,jng,1,0,1
16.03,Nautilus,sup,1,0,1
16.03,Neeko,sup,0,1,1
16.03,Pantheon,jng,1,0,1
16.03,Thresh,sup,1,0,1
16.03,Zed,mid,0,1,1
16.04,Aatrox,jng,1,0,1
16.04,Akali,mid,0,1,1
16.04,Ambessa,top,0,1,1
16.04,Neeko,sup,1,0,1
16.04,Pantheon,jng,0,1,1
16.04,Rumble,top,1,0,1
16.04,Sivir,bot,1,0,1
16.04,Varus,bot,0,1,1
16.04,Yone,mid,1,0,1
16.04,Zed,mid,0,1,1
