patch,champ,role,picks_vs,bans_vs
16.04,Ambessa,top,0,2
16.04,Ornn,top,1,1
16.04,Sylas,mid,0,2
16.04,Aatrox,jng,0,1
16.04,Akali,mid,0,1
16.04,Anivia,mid,1,0
16.04,Corki,bot,1,0
16.04,Dr. Mundo,jng,1,0
16.04,Hwei,mid,1,0
16.04,Karma,sup,1,0
16.04,Pyke,sup,1,0
16.04,Rakan,sup,0,1
16.04,Rumble,top,1,0
16.04,Taliyah,mid,0,1
16.04,Varus,bot,1,0
16.04,Wukong,jng,0,1
16.04,Xin Zhao,jng,1,0
16.05,Aurora,mid,0,3
16.05,Gwen,top,1,2
16.05,Jarvan IV,jng,0,3
16.05,Orianna,mid,0,3
16.05,Renekton,top,2,1
16.05,Corki,bot,2,0
16.05,LeBlanc,mid,0,2
16.05,Nami,sup,2,0
16.05,Nautilus,sup,0,2
16.05,Pantheon,jng,1,1
16.05,Rumble,top,1,1
16.05,Ryze,mid,2,0
16.05,Syndra,mid,1,1
16.05,Varus,bot,0,2
16.05,Xin Zhao,jng,2,0
16.05,Zaahen,jng,2,0
16.05,Aatrox,jng,0,1
16.05,Akali,mid,0,1
16.05,Alistar,sup,1,0
16.05,Ambessa,top,0,1
16.05,Aphelios,bot,1,0
16.05,Ashe,bot,0,1
16.05,Azir,mid,1,0
16.05,Ezreal,bot,1,0
16.05,K'Sante,top,1,0
16.05,Kai'Sa,bot,1,0
16.05,Karma,sup,1,0
16.05,Lee Sin,jng,1,0
16.05,Malphite,jng,0,1
16.05,Mel,mid,1,0
16.05,Neeko,sup,1,0
16.05,Rell,sup,1,0
16.05,Sion,top,1,0
16.05,Vi,jng,0,1
16.05,Viktor,mid,1,0
16.05,Yone,mid,0,1
16.05,Yunara,bot,1,0
16.05,Yuumi,sup,0,1
16.06,Karma,sup,1,3
16.06,Ashe,bot,0,2
16.06,Caitlyn,bot,2,0
16.06,Dr. Mundo,jng,0,2
16.06,Neeko,sup,2,0
16.06,Orianna,mid,1,1
16.06,Ornn,top,2,0
16.06,Renekton,top,0,2
16.06,Varus,bot,0,2
16.06,Aatrox,jng,1,0
16.06,Ahri,mid,1,0
16.06,Akali,mid,0,1
16.06,Ambessa,top,0,1
16.06,Azir,mid,1,0
16.06,Gnar,top,1,0
16.06,Jarvan IV,jng,1,0
16.06,Jayce,top,0,1
16.06,LeBlanc,mid,0,1
16.06,Lulu,sup,0,1
16.06,Nami,sup,1,0
16.06,Nautilus,sup,0,1
16.06,Nocturne,jng,1,0
16.06,Pantheon,jng,0,1
16.06,Rakan,sup,0,1
16.06,Ryze,mid,1,0
16.06,Wukong,jng,1,0
16.06,Yunara,bot,1,0
16.06,Zaahen,top,1,0
16.06,Zeri,bot,1,0
16.07,Ashe,bot,1,2
16.07,Dr. Mundo,jng,0,3
16.07,Karma,sup,0,3
16.07,Varus,bot,0,3
16.07,Gwen,top,0,2
16.07,Nami,sup,2,0
16.07,Pantheon,jng,1,1
16.07,Aatrox,jng,0,1
16.07,Ambessa,top,0,1
16.07,Anivia,mid,1,0
16.07,Bard,sup,0,1
16.07,Caitlyn,bot,1,0
16.07,Corki,bot,1,0
16.07,Galio,mid,1,0
16.07,Jarvan IV,jng,0,1
16.07,Jayce,top,1,0
16.07,K'Sante,top,1,0
16.07,Mordekaiser,top,1,0
16.07,Neeko,sup,1,0
16.07,Nocturne,jng,1,0
16.07,Orianna,mid,0,1
16.07,Ryze,mid,1,0
16.07,Seraphine,sup,1,0
16.07,Shen,top,1,0
16.07,Sivir,bot,1,0
16.07,Skarner,jng,0,1
16.07,Sylas,mid,1,0
16.07,Wukong,jng,1,0
16.07,Xin Zhao,jng,1,0
16.08,Orianna,mid,0,5
16.08,Karma,sup,0,4
16.08,Varus,bot,1,3
16.08,Annie,mid,1,1
16.08,Ryze,mid,1,1
16.08,Syndra,mid,1,1
16.08,Wukong,jng,1,1
16.08,Akali,mid,1,0
16.08,Ezreal,bot,1,0
16.08,Gnar,top,1,0
16.08,Gwen,top,0,1
16.08,Gwen,jng,1,0
16.08,Jhin,bot,1,0
16.08,Jinx,bot,1,0
16.08,LeBlanc,mid,0,1
16.08,Lucian,bot,1,0
16.08,Malphite,jng,0,1
16.08,Milio,sup,1,0
16.08,Naafiri,jng,1,0
16.08,Nami,sup,1,0
16.08,Nautilus,sup,1,0
16.08,Ornn,top,1,0
16.08,Pantheon,jng,0,1
16.08,Rumble,top,1,0
16.08,Seraphine,sup,1,0
16.08,Skarner,jng,1,0
16.08,Sylas,mid,1,0
16.08,Tahm Kench,sup,1,0
16.08,Taliyah,mid,0,1
16.08,Vayne,top,1,0
16.08,Xin Zhao,jng,1,0
16.08,Yone,top,1,0
16.08,Zaahen,top,0,1
16.09,Karma,sup,0,3
16.09,Varus,bot,0,3
16.09,Aatrox,top,1,0
16.09,Aurora,mid,0,1
16.09,Bard,sup,1,0
16.09,Cassiopeia,mid,0,1
16.09,Corki,bot,1,0
16.09,Ezreal,bot,1,0
16.09,Gragas,top,1,0
16.09,Jarvan IV,jng,0,1
16.09,Jhin,bot,0,1
16.09,LeBlanc,mid,1,0
16.09,Lee Sin,jng,1,0
16.09,Lucian,bot,1,0
16.09,Milio,sup,1,0
16.09,Miss Fortune,bot,0,1
16.09,Naafiri,jng,1,0
16.09,Neeko,sup,1,0
16.09,Nocturne,jng,0,1
16.09,Orianna,mid,0,1
16.09,Ornn,top,1,0
16.09,Ryze,mid,1,0
16.09,Skarner,jng,0,1
16.09,Vi,jng,1,0
16.09,Viktor,mid,1,0
16.09,Wukong,jng,0,1
16.1,Ashe,bot,1,2
16.1,Nocturne,jng,0,3
16.1,Jarvan IV,jng,0,2
16.1,Aatrox,jng,0,1
16.1,Ahri,mid,0,1
16.1,Alistar,sup,1,0
16.1,Aurora,mid,1,0
16.1,Bard,sup,1,0
16.1,Ezreal,bot,1,0
16.1,Gwen,top,0,1
16.1,Jhin,bot,1,0
16.1,Lucian,bot,0,1
16.1,Lulu,sup,1,0
16.1,Orianna,mid,1,0
16.1,Ornn,top,1,0
16.1,Ryze,mid,1,0
16.1,Shyvana,jng,1,0
16.1,Sion,top,1,0
16.1,Skarner,jng,0,1
16.1,Tristana,bot,0,1
16.1,Varus,bot,0,1
16.1,Vayne,top,1,0
16.1,Vi,jng,1,0
16.1,Wukong,jng,1,0
16.1,Yorick,top,0,1
