patch,champ,role,picks_by,bans_vs,series_presence
16.04,Ambessa,top,0,2,1
16.04,Nautilus,sup,1,1,1
16.04,Neeko,sup,0,2,1
16.04,Aatrox,top,1,0,1
16.04,Akali,mid,1,0,1
16.04,Aphelios,bot,1,0,1
16.04,Braum,sup,0,1,1
16.04,Caitlyn,bot,1,0,1
16.04,Galio,mid,0,1,1
16.04,Gwen,top,0,1,1
16.04,Lulu,sup,1,0,1
16.04,Renekton,top,1,0,1
16.04,Ryze,mid,1,0,1
16.04,Thresh,sup,0,1,1
16.04,Vi,jng,0,1,1
16.04,Volibear,jng,1,0,1
16.04,Xin Zhao,jng,1,0,1
16.05,Ambessa,top,0,3,2
16.05,Neeko,sup,1,2,2
16.05,Taliyah,mid,2,1,2
16.05,Nautilus,sup,2,0,2
16.05,Orianna,mid,0,2,2
16.05,Renekton,top,2,0,2
16.05,Xin Zhao,jng,1,1,2
16.05,Yunara,bot,2,0,2
16.05,Alistar,sup,0,1,1
16.05,Bard,sup,0,1,1
16.05,Dr. Mundo,jng,1,0,1
16.05,Gnar,top,1,0,1
16.05,Jarvan IV,jng,0,1,1
16.05,Jhin,bot,1,0,1
16.05,Jinx,bot,1,0,1
16.05,K'Sante,top,1,0,1
16.05,Karma,sup,0,1,1
16.05,Lulu,sup,0,1,1
16.05,Pantheon,jng,0,1,1
16.05,Rell,sup,0,1,1
16.05,Rumble,top,0,1,1
16.05,Ryze,mid,1,0,1
16.05,Seraphine,sup,0,1,1
16.05,Syndra,mid,0,1,1
16.05,Thresh,sup,1,0,1
16.05,Trundle,jng,1,0,1
16.05,Varus,bot,0,1,1
16.05,Viktor,mid,1,0,1
16.05,Wukong,jng,1,0,1
16.06,Ambessa,top,1,2,2
16.06,Bard,sup,0,3,2
16.06,Orianna,mid,0,3,2
16.06,Ryze,mid,1,2,2
16.06,Xin Zhao,jng,1,2,3
16.06,Alistar,sup,2,0,2
16.06,Gnar,top,1,1,1
16.06,LeBlanc,mid,1,1,2
16.06,Trundle,jng,1,1,1
16.06,Vi,jng,1,1,2
16.06,Yunara,bot,2,0,2
16.06,Aatrox,jng,1,0,1
16.06,Ahri,mid,1,0,1
16.06,Akali,mid,1,0,1
16.06,Aurora,mid,0,1,1
16.06,Braum,sup,0,1,1
16.06,Caitlyn,bot,0,1,1
16.06,Dr. Mundo,jng,0,1,1
16.06,Hwei,mid,1,0,1
16.06,Jhin,bot,1,0,1
16.06,Jinx,bot,1,0,1
16.06,Kai'Sa,bot,0,1,1
16.06,Karma,sup,0,1,1
16.06,Lulu,sup,0,1,1
16.06,Maokai,sup,1,0,1
16.06,Miss Fortune,bot,1,0,1
16.06,Nami,sup,1,0,1
16.06,Nautilus,sup,0,1,1
16.06,Neeko,sup,1,0,1
16.06,Nocturne,jng,1,0,1
16.06,Ornn,top,1,0,1
16.06,Rell,sup,0,1,1
16.06,Rumble,top,1,0,1
16.06,Sion,top,1,0,1
16.07,Jarvan IV,jng,1,2,2
16.07,Aurora,mid,0,2,2
16.07,Caitlyn,bot,1,1,2
16.07,Ezreal,bot,2,0,2
16.07,Gnar,top,1,1,2
16.07,Karma,sup,0,2,2
16.07,LeBlanc,mid,1,1,2
16.07,Orianna,mid,0,2,2
16.07,Seraphine,sup,0,2,2
16.07,Sion,top,2,0,2
16.07,Vi,jng,0,2,1
16.07,Ahri,mid,1,0,1
16.07,Akali,mid,0,1,1
16.07,Annie,mid,0,1,1
16.07,Bard,sup,0,1,1
16.07,Hwei,mid,1,0,1
16.07,Jax,top,1,0,1
16.07,Jhin,bot,1,0,1
16.07,Jinx,bot,0,1,1
16.07,Lee Sin,jng,1,0,1
16.07,Nami,sup,1,0,1
16.07,Nautilus,sup,1,0,1
16.07,Neeko,sup,1,0,1
16.07,Pantheon,jng,1,0,1
16.07,Rell,sup,1,0,1
16.07,Ryze,mid,1,0,1
16.07,Trundle,jng,0,1,1
16.07,Wukong,jng,1,0,1
16.08,Ambessa,top,0,2,2
16.08,Azir,mid,0,2,1
16.08,Ezreal,bot,1,1,2
16.08,Gwen,top,0,2,2
16.08,Jarvan IV,jng,0,2,1
16.08,Renekton,top,0,2,1
16.08,Vi,jng,0,2,1
16.08,Akali,mid,1,0,1
16.08,Annie,mid,1,0,1
16.08,Aurora,mid,1,0,1
16.08,Bard,sup,0,1,1
16.08,Caitlyn,bot,1,0,1
16.08,Gnar,top,1,0,1
16.08,Jhin,bot,1,0,1
16.08,Karma,sup,0,1,1
16.08,Leona,sup,0,1,1
16.08,Maokai,sup,1,0,1
16.08,Miss Fortune,bot,1,0,1
16.08,Nami,sup,0,1,1
16.08,Nautilus,sup,1,0,1
16.08,Neeko,sup,1,0,1
16.08,Nocturne,jng,1,0,1
16.08,Orianna,mid,1,0,1
16.08,Pantheon,jng,0,1,1
16.08,Rakan,sup,1,0,1
16.08,Rell,sup,0,1,1
16.08,Ryze,mid,0,1,1
16.08,Shen,top,1,0,1
16.08,Trundle,jng,1,0,1
16.08,Vayne,top,1,0,1
16.08,Wukong,jng,1,0,1
16.08,Xin Zhao,jng,1,0,1
16.08,Zaahen,top,1,0,1
