patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.06,Seraphine,sup,2,1,3,2,1,3
16.06,Ahri,mid,2,0,2,2,0,2
16.06,Nocturne,jng,0,2,2,0,2,2
16.06,Orianna,mid,0,2,2,0,2,2
16.06,Pyke,sup,1,1,2,1,1,2
16.06,Sion,top,1,1,2,1,1,2
16.06,Varus,bot,0,2,2,0,2,2
16.06,Ambessa,jng,1,0,1,1,0,1
16.06,Ambessa,top,0,1,1,0,1,1
16.06,Ashe,bot,1,0,1,1,0,1
16.06,Ezreal,bot,1,0,1,1,0,1
16.06,Gnar,top,0,1,1,0,1,1
16.06,Gnar,jng,1,0,1,1,0,1
16.06,Gwen,top,0,1,1,0,1,1
16.06,Jax,top,1,0,1,1,0,1
16.06,K'Sante,top,0,1,1,0,1,1
16.06,Nautilus,sup,0,1,1,0,1,1
16.06,Pantheon,jng,0,1,1,0,1,1
16.06,Rek'Sai,top,1,0,1,1,0,1
16.06,Ryze,mid,1,0,1,1,0,1
16.06,Xin Zhao,jng,1,0,1,1,0,1
16.06,Yunara,bot,1,0,1,1,0,1
16.07,Ahri,mid,1,2,3,1,2,3
16.07,Ashe,bot,2,0,2,2,0,2
16.07,Ezreal,bot,1,1,2,1,1,2
16.07,Karma,sup,1,1,2,1,1,2
16.07,Nautilus,sup,0,2,2,0,2,2
16.07,Pantheon,jng,0,2,2,0,2,2
16.07,Pyke,sup,0,2,2,0,2,2
16.07,Seraphine,sup,2,0,2,2,0,2
16.07,Aatrox,jng,1,0,1,1,0,1
16.07,Akali,mid,0,1,1,0,1,1
16.07,Ambessa,top,0,1,1,0,1,1
16.07,Ambessa,jng,1,0,1,1,0,1
16.07,Aurora,mid,1,0,1,1,0,1
16.07,Azir,mid,0,1,1,0,1,1
16.07,Camille,top,1,0,1,1,0,1
16.07,Galio,mid,1,0,1,1,0,1
16.07,Gnar,top,0,1,1,0,1,1
16.07,Jarvan IV,jng,1,0,1,1,0,1
16.07,Renekton,top,1,0,1,1,0,1
16.07,Sion,top,1,0,1,1,0,1
16.07,Xin Zhao,jng,0,1,1,0,1,1
16.08,Pyke,sup,1,8,5,1,4,5
16.08,Nocturne,jng,1,5,4,1,3,4
16.08,Aurora,mid,2,2,3,1,1,2
16.08,Jarvan IV,jng,2,2,3,1,2,3
16.08,Karma,sup,1,3,4,1,3,4
16.08,Anivia,mid,1,2,2,0,2,2
16.08,Caitlyn,bot,1,2,3,1,2,3
16.08,Galio,mid,2,1,3,1,0,1
16.08,Gnar,top,3,0,3,2,0,2
16.08,Naafiri,jng,1,2,2,1,0,1
16.08,Nami,sup,2,1,2,1,0,1
16.08,Orianna,mid,1,2,3,1,1,2
16.08,Rumble,top,3,0,3,2,0,2
16.08,Aatrox,jng,1,1,2,0,1,1
16.08,Corki,bot,2,0,2,1,0,1
16.08,Ezreal,bot,1,1,2,1,1,2
16.08,Kalista,bot,0,2,2,0,1,1
16.08,Pantheon,jng,1,1,2,1,1,2
16.08,Renekton,top,0,2,1,0,0,0
16.08,Wukong,jng,1,1,1,0,0,0
16.08,Xin Zhao,jng,1,1,2,1,1,2
16.08,Yuumi,sup,2,0,2,1,0,1
16.08,Ahri,mid,0,1,1,0,0,0
16.08,Akali,mid,1,0,1,1,0,1
16.08,Ashe,bot,0,1,1,0,0,0
16.08,Azir,mid,1,0,1,0,0,0
16.08,Bard,sup,1,0,1,1,0,1
16.08,Dr. Mundo,jng,1,0,1,0,0,0
16.08,K'Sante,top,0,1,1,0,1,1
16.08,Kai'Sa,bot,1,0,1,1,0,1
16.08,Lucian,bot,1,0,1,0,0,0
16.08,Lulu,sup,1,0,1,0,0,0
16.08,Malphite,top,1,0,1,0,0,0
16.08,Miss Fortune,bot,1,0,1,0,0,0
16.08,Neeko,sup,1,0,1,0,0,0
16.08,Ornn,top,1,0,1,1,0,1
16.08,Rek'Sai,top,1,0,1,0,0,0
16.08,Ryze,mid,1,0,1,1,0,1
16.08,Seraphine,sup,0,1,1,0,1,1
16.08,Sivir,bot,1,0,1,1,0,1
16.08,Varus,bot,0,1,1,0,0,0
16.08,Yorick,top,0,1,1,0,0,0
16.08,Yunara,bot,1,0,1,0,0,0
