patch,champ,role,picks_vs,bans_vs
16.01,Neeko,sup,0,9
16.01,Ambessa,top,1,6
16.01,Caitlyn,bot,0,6
16.01,Alistar,sup,3,2
16.01,Rumble,top,0,5
16.01,Azir,mid,1,3
16.01,Orianna,mid,2,2
16.01,Akali,mid,2,1
16.01,Bard,sup,1,2
16.01,Braum,sup,1,2
16.01,Corki,bot,3,0
16.01,Galio,mid,1,2
16.01,Lulu,sup,1,2
16.01,Rakan,sup,1,2
16.01,Renekton,top,3,0
16.01,Ryze,mid,1,2
16.01,Syndra,mid,1,2
16.01,Vi,jng,1,2
16.01,Wukong,jng,3,0
16.01,Aatrox,jng,0,2
16.01,Dr. Mundo,jng,1,1
16.01,Ezreal,bot,2,0
16.01,Jarvan IV,jng,1,1
16.01,Jayce,top,0,2
16.01,K'Sante,top,2,0
16.01,Kai'Sa,bot,2,0
16.01,Leona,sup,1,1
16.01,Naafiri,jng,1,1
16.01,Nautilus,sup,2,0
16.01,Nocturne,jng,0,2
16.01,Sylas,mid,0,2
16.01,Taliyah,mid,2,0
16.01,Xin Zhao,jng,2,0
16.01,Ahri,mid,1,0
16.01,Aphelios,bot,1,0
16.01,Aurora,mid,1,0
16.01,Cassiopeia,mid,0,1
16.01,Gnar,top,1,0
16.01,Gwen,top,1,0
16.01,Karma,sup,1,0
16.01,Kled,top,1,0
16.01,Lucian,bot,1,0
16.01,Malphite,jng,1,0
16.01,Malphite,top,1,0
16.01,Pantheon,jng,1,0
16.01,Rell,sup,1,0
16.01,Sejuani,jng,1,0
16.01,Sion,top,1,0
16.01,Thresh,sup,1,0
16.01,Trundle,jng,0,1
16.01,Udyr,top,1,0
16.01,Varus,bot,1,0
16.01,Viego,jng,1,0
16.01,Volibear,top,1,0
16.01,Yone,mid,0,1
16.01,Yunara,bot,1,0
16.01,Zeri,bot,1,0
16.01,Ziggs,bot,1,0
16.01,Zoe,mid,1,0
16.02,Ambessa,top,0,2
16.02,Azir,mid,0,2
16.02,Ahri,mid,1,0
16.02,Aurora,mid,1,0
16.02,Caitlyn,bot,1,0
16.02,Dr. Mundo,jng,1,0
16.02,Galio,mid,0,1
16.02,Gnar,top,1,0
16.02,K'Sante,top,1,0
16.02,Kai'Sa,bot,1,0
16.02,Lulu,sup,0,1
