patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.01,Alistar,sup,1,0,1,1,0,1
16.01,Anivia,mid,0,1,1,0,1,1
16.01,Jayce,top,0,1,1,0,1,1
16.01,K'Sante,top,1,0,1,1,0,1
16.01,Kog'Maw,mid,1,0,1,1,0,1
16.01,Neeko,sup,0,1,1,0,1,1
16.01,Orianna,mid,0,1,1,0,1,1
16.01,Taliyah,mid,0,1,1,0,1,1
16.01,Varus,bot,1,0,1,1,0,1
16.01,Xin Zhao,jng,1,0,1,1,0,1
16.02,Karma,sup,1,1,2,1,1,2
16.02,Kayn,jng,0,2,2,0,2,2
16.02,Lulu,sup,0,2,2,0,2,2
16.02,Orianna,mid,1,1,2,1,1,2
16.02,Azir,mid,1,0,1,1,0,1
16.02,Dr. Mundo,top,1,0,1,1,0,1
16.02,Gwen,top,0,1,1,0,1,1
16.02,K'Sante,top,1,0,1,1,0,1
16.02,Karthus,jng,0,1,1,0,1,1
16.02,Neeko,sup,1,0,1,1,0,1
16.02,Rumble,top,0,1,1,0,1,1
16.02,Sivir,bot,1,0,1,1,0,1
16.02,Varus,bot,0,1,1,0,1,1
16.02,Wukong,jng,1,0,1,1,0,1
16.02,Xin Zhao,jng,1,0,1,1,0,1
16.02,Yunara,bot,1,0,1,1,0,1
16.07,Sion,top,2,1,3,2,1,3
16.07,Azir,mid,1,1,2,1,1,2
16.07,Corki,bot,1,1,2,1,1,2
16.07,Kayn,jng,0,2,2,0,2,2
16.07,Naafiri,jng,2,0,2,2,0,2
16.07,Nami,sup,2,0,2,2,0,2
16.07,Orianna,mid,0,2,2,0,2,2
16.07,Pantheon,jng,0,2,2,0,2,2
16.07,Xin Zhao,jng,1,1,2,1,1,2
16.07,Ahri,mid,0,1,1,0,1,1
16.07,Ambessa,top,0,1,1,0,1,1
16.07,Anivia,mid,0,1,1,0,1,1
16.07,Ashe,bot,1,0,1,1,0,1
16.07,Aurora,mid,0,1,1,0,1,1
16.07,Cassiopeia,mid,1,0,1,1,0,1
16.07,Ezreal,bot,1,0,1,1,0,1
16.07,Jarvan IV,jng,0,1,1,0,1,1
16.07,Jax,top,1,0,1,1,0,1
16.07,Karma,sup,0,1,1,0,1,1
16.07,Lulu,sup,1,0,1,1,0,1
16.07,Mel,mid,0,1,1,0,1,1
16.07,Nautilus,sup,0,1,1,0,1,1
16.07,Renekton,top,1,0,1,1,0,1
16.07,Ryze,mid,1,0,1,1,0,1
16.07,Seraphine,sup,1,0,1,1,0,1
16.07,Syndra,mid,1,0,1,1,0,1
16.07,Wukong,jng,0,1,1,0,1,1
16.07,Yunara,bot,1,0,1,1,0,1
16.07,Zaahen,jng,1,0,1,1,0,1
16.08,Lulu,sup,1,2,3,1,2,3
16.08,Nami,sup,0,3,3,0,3,3
16.08,Seraphine,sup,1,2,3,1,2,3
16.08,Anivia,mid,0,2,2,0,2,2
16.08,Bard,sup,1,1,2,1,1,2
16.08,Jhin,bot,1,1,2,1,1,2
16.08,Miss Fortune,bot,2,0,2,2,0,2
16.08,Orianna,mid,1,1,2,1,1,2
16.08,Xin Zhao,jng,1,1,2,1,1,2
16.08,Aatrox,jng,1,0,1,1,0,1
16.08,Ahri,mid,0,1,1,0,1,1
16.08,Ambessa,jng,1,0,1,1,0,1
16.08,Aurora,mid,1,0,1,1,0,1
16.08,Azir,mid,0,1,1,0,1,1
16.08,Dr. Mundo,jng,0,1,1,0,1,1
16.08,Irelia,top,1,0,1,1,0,1
16.08,Jax,top,1,0,1,1,0,1
16.08,Kai'Sa,bot,0,1,1,0,1,1
16.08,Karma,sup,0,1,1,0,1,1
16.08,Lucian,bot,0,1,1,0,1,1
16.08,Nautilus,sup,1,0,1,1,0,1
