patch,champ,role,picks_by,bans_vs
16.01,Alistar,sup,0,1
16.01,K'Sante,top,1,0
16.01,Lulu,sup,0,1
16.01,Malphite,jng,0,1
16.01,Miss Fortune,bot,1,0
16.01,Nautilus,sup,1,0
16.01,Orianna,mid,0,1
16.01,Poppy,sup,0,1
16.01,Ryze,mid,1,0
16.01,Vi,jng,1,0
16.02,Akali,mid,0,1
16.02,Alistar,sup,1,0
16.02,Azir,mid,0,1
16.02,Gragas,top,1,0
16.02,Jarvan IV,jng,1,0
16.02,K'Sante,top,0,1
16.02,Orianna,mid,0,1
16.02,Sion,top,0,1
16.02,Syndra,mid,1,0
16.02,Yunara,bot,1,0
16.07,Dr. Mundo,jng,1,2
16.07,Jayce,top,0,3
16.07,Aurora,mid,0,2
16.07,Bard,sup,1,1
16.07,Ezreal,bot,2,0
16.07,Gnar,top,2,0
16.07,Jarvan IV,jng,2,0
16.07,Karma,sup,0,2
16.07,Nautilus,sup,0,2
16.07,Orianna,mid,2,0
16.07,Sion,top,1,1
16.07,Syndra,mid,1,1
16.07,Alistar,sup,1,0
16.07,Anivia,mid,1,0
16.07,Aurora,top,1,0
16.07,Corki,bot,0,1
16.07,Kai'Sa,bot,1,0
16.07,Leona,sup,0,1
16.07,Lulu,sup,1,0
16.07,Nami,sup,1,0
16.07,Nocturne,jng,1,0
16.07,Rell,sup,0,1
16.07,Rumble,top,0,1
16.07,Viktor,mid,0,1
16.07,Yunara,bot,1,0
16.07,Zyra,jng,0,1
16.08,Ezreal,bot,2,1
16.08,Jarvan IV,jng,1,2
16.08,Orianna,mid,1,2
16.08,Anivia,mid,0,2
16.08,Bard,sup,1,1
16.08,Caitlyn,bot,1,1
16.08,Gnar,top,2,0
16.08,Karma,sup,0,2
16.08,Rell,sup,2,0
16.08,Sion,top,0,2
16.08,Akali,top,1,0
16.08,Alistar,sup,0,1
16.08,Aurora,mid,0,1
16.08,Braum,sup,0,1
16.08,Corki,bot,1,0
16.08,Jayce,top,0,1
16.08,Mel,mid,0,1
16.08,Nautilus,sup,1,0
16.08,Nocturne,jng,1,0
16.08,Poppy,top,1,0
16.08,Poppy,sup,0,1
16.08,Ryze,mid,1,0
16.08,Syndra,mid,1,0
16.08,Vi,jng,0,1
16.08,Viktor,mid,1,0
16.08,Wukong,jng,1,0
16.08,Zyra,jng,1,0
16.09,Anivia,mid,1,2
16.09,Sion,top,2,1
16.09,Bard,sup,1,1
16.09,Caitlyn,bot,1,1
16.09,Corki,bot,1,1
16.09,Ezreal,bot,1,1
16.09,Nami,sup,2,0
16.09,Nautilus,sup,0,2
16.09,Nocturne,jng,1,1
16.09,Syndra,mid,1,1
16.09,Vi,jng,2,0
16.09,Viktor,mid,1,1
16.09,Yorick,top,1,1
16.09,Ahri,mid,1,0
16.09,Gnar,top,1,0
16.09,Jarvan IV,jng,1,0
16.09,Karma,sup,0,1
16.09,Lulu,sup,0,1
16.09,Malphite,jng,0,1
16.09,Orianna,mid,0,1
16.09,Rakan,sup,0,1
16.09,Rell,sup,1,0
16.09,Rumble,top,0,1
16.09,Skarner,jng,0,1
16.09,Smolder,bot,1,0
16.1,Gnar,top,1,1
16.1,Jarvan IV,jng,0,2
16.1,Nocturne,jng,1,1
16.1,Caitlyn,bot,0,1
16.1,Cassiopeia,mid,1,0
16.1,Corki,bot,1,0
16.1,K'Sante,top,1,0
16.1,Rell,sup,1,0
16.1,Senna,bot,1,0
16.1,Seraphine,sup,1,0
16.1,Skarner,jng,1,0
16.1,Smolder,bot,0,1
16.1,Syndra,mid,0,1
16.1,Taliyah,mid,1,0
16.1,Varus,bot,0,1
16.1,Viktor,mid,0,1
16.1,Zyra,jng,0,1
