patch,champ,role,picks_by,bans_vs,series_presence
16.02,Sion,top,1,3,2
16.02,Diana,jng,1,2,2
16.02,Nidalee,jng,1,2,2
16.02,Smolder,bot,0,3,2
16.02,Aurelion Sol,mid,0,2,1
16.02,Dr. Mundo,top,2,0,2
16.02,Hwei,mid,0,2,1
16.02,Jayce,top,0,2,1
16.02,Lee Sin,jng,2,0,2
16.02,Lulu,sup,1,1,2
16.02,Malphite,jng,0,2,1
16.02,Ornn,top,0,2,1
16.02,Sivir,bot,2,0,2
16.02,Varus,bot,1,1,2
16.02,Veigar,mid,2,0,2
16.02,Vladimir,mid,2,0,2
16.02,Alistar,sup,1,0,1
16.02,Aphelios,bot,1,0,1
16.02,Braum,sup,1,0,1
16.02,Corki,bot,0,1,1
16.02,Jax,top,1,0,1
16.02,Jayce,jng,1,0,1
16.02,K'Sante,top,1,0,1
16.02,Kai'Sa,bot,1,0,1
16.02,Mel,mid,1,0,1
16.02,Nautilus,sup,1,0,1
16.02,Rell,sup,1,0,1
16.02,Renekton,top,0,1,1
16.02,Tristana,bot,0,1,1
16.03,Sion,top,1,4,2
16.03,Ahri,mid,1,3,2
16.03,Lee Sin,jng,1,3,2
16.03,Alistar,sup,2,0,2
16.03,Ambessa,top,0,2,1
16.03,Jayce,top,0,2,1
16.03,K'Sante,top,1,1,2
16.03,Kai'Sa,bot,2,0,2
16.03,Nautilus,sup,2,0,2
16.03,Neeko,sup,1,1,2
16.03,Orianna,mid,1,1,2
16.03,Ornn,top,2,0,2
16.03,Varus,bot,2,0,2
16.03,Aatrox,jng,1,0,1
16.03,Ambessa,jng,1,0,1
16.03,Braum,sup,0,1,1
16.03,Caitlyn,bot,0,1,1
16.03,Dr. Mundo,jng,0,1,1
16.03,Dr. Mundo,top,1,0,1
16.03,Galio,mid,1,0,1
16.03,Jayce,jng,1,0,1
16.03,Jinx,bot,1,0,1
16.03,Lulu,sup,0,1,1
16.03,Nidalee,jng,0,1,1
16.03,Olaf,jng,1,0,1
16.03,Rell,sup,0,1,1
16.03,Ryze,mid,1,0,1
16.03,Sivir,bot,0,1,1
16.03,Syndra,mid,0,1,1
16.03,Viktor,mid,1,0,1
