patch,champ,role,picks_by,bans_vs
16.1,LeBlanc,mid,2,3
16.1,Orianna,mid,1,4
16.1,Ambessa,top,0,4
16.1,Gnar,top,0,4
16.1,Nocturne,jng,1,3
16.1,Lulu,sup,0,3
16.1,Ahri,mid,2,0
16.1,Akali,mid,0,2
16.1,Jarvan IV,jng,1,1
16.1,Rek'Sai,jng,2,0
16.1,Yunara,bot,2,0
16.1,Aatrox,jng,0,1
16.1,Aphelios,bot,0,1
16.1,Blitzcrank,sup,1,0
16.1,Braum,sup,1,0
16.1,Caitlyn,bot,1,0
16.1,Camille,top,1,0
16.1,Ezreal,bot,1,0
16.1,Jinx,bot,1,0
16.1,Kai'Sa,bot,0,1
16.1,Lillia,jng,0,1
16.1,Malphite,top,1,0
16.1,Nami,sup,1,0
16.1,Nautilus,sup,0,1
16.1,Neeko,sup,1,0
16.1,Ornn,top,1,0
16.1,Poppy,top,1,0
16.1,Rell,sup,1,0
16.1,Renekton,top,1,0
16.1,Ryze,mid,1,0
16.1,Thresh,sup,1,0
16.1,Tristana,bot,1,0
16.1,Varus,bot,0,1
16.1,Vi,jng,1,0
16.1,Wukong,jng,1,0
16.1,Zaahen,top,1,0
