patch,champ,role,picks_by,bans_vs
16.04,Lulu,sup,1,4
16.04,Akali,mid,2,1
16.04,Jarvan IV,jng,2,1
16.04,Jinx,bot,2,1
16.04,Neeko,sup,1,2
16.04,Varus,bot,1,2
16.04,Yunara,bot,0,3
16.04,Aphelios,bot,1,1
16.04,Gwen,top,1,1
16.04,Leona,sup,2,0
16.04,Sylas,mid,1,1
16.04,Zaahen,top,1,1
16.04,Akali,top,1,0
16.04,Aurora,mid,1,0
16.04,Braum,sup,1,0
16.04,Irelia,top,0,1
16.04,Jax,top,1,0
16.04,K'Sante,top,0,1
16.04,Kai'Sa,bot,1,0
16.04,Karma,sup,0,1
16.04,Nidalee,jng,1,0
16.04,Orianna,mid,0,1
16.04,Poppy,sup,0,1
16.04,Rumble,top,0,1
16.04,Vi,jng,1,0
16.04,Xin Zhao,jng,1,0
16.04,Yasuo,mid,0,1
16.04,Yone,mid,1,0
16.04,Yone,top,1,0
16.08,Nocturne,jng,0,5
16.08,Karma,sup,0,4
16.08,Jarvan IV,jng,1,2
16.08,Vi,jng,0,3
16.08,Akali,mid,1,1
16.08,Gwen,top,1,1
16.08,Irelia,top,2,0
16.08,Sylas,mid,0,2
16.08,Yone,mid,2,0
16.08,Aatrox,top,1,0
16.08,Ahri,mid,1,0
16.08,Aphelios,bot,1,0
16.08,Azir,mid,1,0
16.08,Braum,sup,1,0
16.08,Camille,top,0,1
16.08,Fiora,top,0,1
16.08,Ivern,jng,1,0
16.08,Jayce,top,0,1
16.08,Kai'Sa,bot,1,0
16.08,Lucian,bot,1,0
16.08,Lulu,sup,1,0
16.08,Nami,sup,1,0
16.08,Nautilus,sup,0,1
16.08,Neeko,sup,1,0
16.08,Pantheon,jng,1,0
16.08,Poppy,sup,0,1
16.08,Rell,sup,1,0
16.08,Renekton,top,0,1
16.08,Rumble,top,1,0
16.08,Sivir,bot,1,0
16.08,Skarner,jng,1,0
16.08,Vayne,top,0,1
16.08,Wukong,jng,1,0
16.08,Xayah,bot,1,0
16.09,Akali,mid,1,2
16.09,Gwen,top,1,1
16.09,Irelia,top,0,2
16.09,Kai'Sa,bot,2,0
16.09,Lucian,bot,1,1
16.09,Nautilus,sup,1,1
16.09,Nocturne,jng,0,2
16.09,Rumble,top,0,2
16.09,Yone,mid,0,2
16.09,Ahri,mid,1,0
16.09,Aphelios,bot,1,0
16.09,Aurora,top,1,0
16.09,Azir,mid,1,0
16.09,Caitlyn,bot,0,1
16.09,Hwei,mid,1,0
16.09,Jarvan IV,jng,1,0
16.09,Jax,top,0,1
16.09,Jayce,top,1,0
16.09,Karma,sup,1,0
16.09,Milio,sup,1,0
16.09,Neeko,sup,1,0
16.09,Pantheon,jng,0,1
16.09,Seraphine,sup,0,1
16.09,Smolder,top,1,0
16.09,Varus,bot,0,1
16.09,Vayne,top,0,1
16.09,Vi,jng,1,0
16.09,Wukong,jng,1,0
16.09,Xin Zhao,jng,1,0
16.09,Yorick,top,0,1
16.10,Ivern,jng,0,3
16.10,Lucian,bot,0,3
16.10,Ezreal,bot,1,1
16.10,Gwen,top,0,2
16.10,Lulu,sup,0,2
16.10,Akali,mid,1,0
16.10,Aphelios,bot,0,1
16.10,Aurora,mid,0,1
16.10,Bard,sup,1,0
16.10,Irelia,top,1,0
16.10,Jarvan IV,jng,1,0
16.10,Jhin,bot,1,0
16.10,Jinx,bot,1,0
16.10,Karma,sup,1,0
16.10,Nautilus,sup,1,0
16.10,Renekton,top,1,0
16.10,Rumble,top,1,0
16.10,Sejuani,jng,0,1
16.10,Skarner,jng,1,0
16.10,Sylas,mid,1,0
16.10,Varus,bot,0,1
16.10,Xin Zhao,jng,1,0
16.10,Yone,mid,1,0
