patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.03,Ambessa,top,0,2,2,0,2,2
16.03,Azir,mid,1,1,2,1,1,2
16.03,Caitlyn,bot,0,2,2,0,2,2
16.03,Aatrox,jng,1,0,1,1,0,1
16.03,Alistar,sup,1,0,1,1,0,1
16.03,Ezreal,bot,1,0,1,1,0,1
16.03,Gnar,top,1,0,1,1,0,1
16.03,Jarvan IV,jng,0,1,1,0,1,1
16.03,Jayce,top,0,1,1,0,1,1
16.03,Nautilus,sup,1,0,1,1,0,1
16.03,Nocturne,jng,0,1,1,0,1,1
16.03,Orianna,mid,1,0,1,1,0,1
16.03,Rell,sup,0,1,1,0,1,1
16.03,Rumble,top,1,0,1,1,0,1
16.03,Varus,bot,0,1,1,0,1,1
16.03,Xin Zhao,jng,1,0,1,1,0,1
16.03,Yunara,bot,1,0,1,1,0,1
16.04,Aatrox,jng,2,7,3,0,2,2
16.04,Ambessa,top,2,5,3,1,2,3
16.04,Rumble,top,1,6,3,0,3,3
16.04,Orianna,mid,1,4,3,1,1,2
16.04,Varus,bot,1,4,3,0,2,2
16.04,Gnar,top,3,1,3,1,1,2
16.04,Syndra,mid,0,4,2,0,0,0
16.04,Bard,sup,1,2,2,0,0,0
16.04,Caitlyn,bot,3,0,3,2,0,2
16.04,Leona,sup,3,0,3,0,0,0
16.04,Sylas,jng,3,0,3,1,0,1
16.04,Ahri,mid,1,1,2,0,0,0
16.04,Alistar,sup,1,1,2,0,0,0
16.04,Azir,mid,2,0,2,0,0,0
16.04,Corki,bot,2,0,2,1,0,1
16.04,Hwei,mid,0,2,2,0,0,0
16.04,Jayce,mid,2,0,2,0,0,0
16.04,Mordekaiser,top,2,0,2,0,0,0
16.04,Nautilus,sup,2,0,2,2,0,2
16.04,Sion,top,2,0,2,1,0,1
16.04,Taliyah,mid,2,0,2,2,0,2
16.04,Vi,jng,1,1,2,1,1,2
16.04,Wukong,jng,1,1,2,1,0,1
16.04,Aurora,mid,0,1,1,0,0,0
16.04,Braum,sup,1,0,1,0,0,0
16.04,Ezreal,bot,0,1,1,0,0,0
16.04,Galio,mid,1,0,1,0,0,0
16.04,Jarvan IV,jng,0,1,1,0,1,1
16.04,Jax,top,0,1,1,0,0,0
16.04,Jhin,bot,1,0,1,0,0,0
16.04,Jinx,bot,1,0,1,0,0,0
16.04,Karma,sup,1,0,1,0,0,0
16.04,Lillia,jng,1,0,1,0,0,0
16.04,Lucian,bot,1,0,1,0,0,0
16.04,Naafiri,jng,1,0,1,0,0,0
16.04,Nami,sup,0,1,1,0,1,1
16.04,Neeko,sup,0,1,1,0,1,1
16.04,Nocturne,jng,1,0,1,0,0,0
16.04,Ornn,top,0,1,1,0,0,0
16.04,Rakan,sup,1,0,1,1,0,1
16.04,Renekton,top,0,1,1,0,0,0
16.04,Sivir,bot,1,0,1,0,0,0
16.04,Tahm Kench,sup,0,1,1,0,0,0
16.04,Tristana,bot,0,1,1,0,0,0
16.04,Viktor,mid,1,0,1,0,0,0
16.04,Xin Zhao,jng,0,1,1,0,0,0
16.05,Azir,mid,0,4,2,0,2,2
16.05,Ambessa,top,0,3,2,0,1,1
16.05,Caitlyn,bot,0,3,2,0,2,2
16.05,Varus,bot,1,2,2,0,1,1
16.05,Aatrox,jng,2,0,2,1,0,1
16.05,Garen,top,1,1,2,0,0,0
16.05,Nautilus,sup,2,0,2,2,0,2
16.05,Taliyah,mid,2,0,2,2,0,2
16.05,Ahri,mid,1,0,1,0,0,0
16.05,Alistar,sup,0,1,1,0,1,1
16.05,Corki,bot,0,1,1,0,1,1
16.05,Gnar,top,0,1,1,0,0,0
16.05,Graves,top,1,0,1,0,0,0
16.05,Jayce,top,1,0,1,1,0,1
16.05,Jhin,bot,0,1,1,0,0,0
16.05,Leona,sup,1,0,1,0,0,0
16.05,Mel,bot,1,0,1,0,0,0
16.05,Naafiri,jng,0,1,1,0,0,0
16.05,Orianna,mid,0,1,1,0,1,1
16.05,Rakan,sup,1,0,1,0,0,0
16.05,Rumble,top,1,0,1,1,0,1
16.05,Senna,bot,1,0,1,1,0,1
16.05,Tristana,bot,1,0,1,1,0,1
16.05,Vi,jng,1,0,1,0,0,0
16.05,Viktor,mid,1,0,1,0,0,0
16.05,Wukong,jng,1,0,1,1,0,1
16.05,Xayah,bot,0,1,1,0,1,1
