patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.01,Caitlyn,bot,0,1,1,0,1,1
16.01,Cho'Gath,top,1,0,1,1,0,1
16.01,Corki,bot,0,1,1,0,1,1
16.01,Malphite,jng,0,1,1,0,1,1
16.01,Neeko,sup,1,0,1,1,0,1
16.01,Orianna,mid,1,0,1,1,0,1
16.01,Smolder,bot,1,0,1,1,0,1
16.01,Varus,bot,0,1,1,0,1,1
16.01,Wukong,jng,1,0,1,1,0,1
16.01,Zoe,mid,0,1,1,0,1,1
16.02,Caitlyn,bot,0,1,1,0,1,1
16.02,Corki,bot,1,0,1,1,0,1
16.02,Nami,sup,0,1,1,0,1,1
16.02,Nautilus,sup,0,1,1,0,1,1
16.02,Rakan,sup,1,0,1,1,0,1
16.02,Sion,top,1,0,1,1,0,1
16.02,Syndra,mid,1,0,1,1,0,1
16.02,Varus,bot,0,1,1,0,1,1
16.02,Wukong,jng,1,0,1,1,0,1
16.02,Zoe,mid,0,1,1,0,1,1
16.07,Ambessa,top,0,4,4,0,4,4
16.07,Xin Zhao,jng,4,0,4,4,0,4
16.07,Rumble,top,2,1,3,2,1,3
16.07,Zoe,mid,0,3,3,0,3,3
16.07,Ezreal,bot,0,2,2,0,2,2
16.07,Karma,sup,0,2,2,0,2,2
16.07,Nami,sup,0,2,2,0,2,2
16.07,Nautilus,sup,0,2,2,0,2,2
16.07,Orianna,mid,1,1,2,1,1,2
16.07,Rell,sup,2,0,2,2,0,2
16.07,Ryze,mid,2,0,2,2,0,2
16.07,Sion,top,1,1,2,1,1,2
16.07,Ahri,mid,1,0,1,1,0,1
16.07,Aphelios,bot,0,1,1,0,1,1
16.07,Ashe,bot,1,0,1,1,0,1
16.07,Dr. Mundo,top,1,0,1,1,0,1
16.07,Jhin,bot,1,0,1,1,0,1
16.07,Lulu,sup,1,0,1,1,0,1
16.07,Mel,mid,0,1,1,0,1,1
16.07,Seraphine,sup,1,0,1,1,0,1
16.07,Xayah,bot,1,0,1,1,0,1
16.07,Yunara,bot,1,0,1,1,0,1
16.08,Syndra,mid,2,2,4,2,2,4
16.08,Zoe,mid,0,4,4,0,4,4
16.08,Ahri,mid,0,3,3,0,3,3
16.08,Kai'Sa,bot,2,1,3,2,1,3
16.08,Nautilus,sup,3,0,3,3,0,3
16.08,Orianna,mid,0,3,3,0,3,3
16.08,Rumble,top,2,1,3,2,1,3
16.08,Azir,mid,2,0,2,2,0,2
16.08,Varus,bot,1,1,2,1,1,2
16.08,Zaahen,jng,2,0,2,2,0,2
16.08,Ambessa,top,0,1,1,0,1,1
16.08,Ezreal,bot,1,0,1,1,0,1
16.08,Nami,sup,1,0,1,1,0,1
16.08,Nocturne,jng,0,1,1,0,1,1
16.08,Pantheon,jng,1,0,1,1,0,1
16.08,Renekton,top,1,0,1,1,0,1
16.08,Ryze,mid,0,1,1,0,1,1
16.08,Seraphine,sup,0,1,1,0,1,1
16.08,Sion,top,1,0,1,1,0,1
16.08,Vi,jng,1,0,1,1,0,1
16.08,Xin Zhao,jng,0,1,1,0,1,1
16.09,Ezreal,bot,2,2,4,2,2,4
16.09,Jarvan IV,jng,3,1,4,3,1,4
16.09,Zoe,mid,0,4,4,0,4,4
16.09,Nami,sup,3,0,3,3,0,3
16.09,Syndra,mid,2,1,3,2,1,3
16.09,Ahri,mid,0,2,2,0,2,2
16.09,Corki,bot,2,0,2,2,0,2
16.09,Nautilus,sup,1,1,2,1,1,2
16.09,Rumble,top,1,1,2,1,1,2
16.09,Sion,top,1,1,2,1,1,2
16.09,Gnar,top,1,0,1,1,0,1
16.09,Gwen,top,0,1,1,0,1,1
16.09,Jayce,top,1,0,1,1,0,1
16.09,Karma,sup,0,1,1,0,1,1
16.09,LeBlanc,mid,1,0,1,1,0,1
16.09,Naafiri,jng,1,0,1,1,0,1
16.09,Orianna,mid,1,0,1,1,0,1
16.09,Pantheon,jng,0,1,1,0,1,1
16.09,Ryze,mid,0,1,1,0,1,1
16.09,Varus,bot,0,1,1,0,1,1
16.09,Vayne,top,0,1,1,0,1,1
16.09,Xin Zhao,jng,0,1,1,0,1,1
16.10,Annie,mid,1,1,2,1,1,2
16.10,Orianna,mid,0,2,2,0,2,2
16.10,Pantheon,jng,2,0,2,2,0,2
16.10,Zoe,mid,0,2,2,0,2,2
16.10,Ahri,mid,1,0,1,1,0,1
16.10,Ashe,bot,1,0,1,1,0,1
16.10,Ezreal,bot,0,1,1,0,1,1
16.10,LeBlanc,mid,0,1,1,0,1,1
16.10,Lucian,bot,1,0,1,1,0,1
16.10,Milio,sup,1,0,1,1,0,1
16.10,Nocturne,jng,0,1,1,0,1,1
16.10,Seraphine,sup,1,0,1,1,0,1
16.10,Sion,top,1,0,1,1,0,1
16.10,Syndra,mid,0,1,1,0,1,1
16.10,Vayne,top,1,0,1,1,0,1
16.10,Viktor,mid,0,1,1,0,1,1
