patch,champ,role,picks_by,bans_vs,series_presence
16.04,Aatrox,jng,0,2,1
16.04,Malphite,jng,0,2,1
16.04,Sion,top,1,1,1
16.04,Alistar,sup,1,0,1
16.04,Ashe,bot,1,0,1
16.04,Azir,mid,1,0,1
16.04,Braum,sup,1,0,1
16.04,Corki,bot,1,0,1
16.04,Ezreal,bot,0,1,1
16.04,Galio,mid,1,0,1
16.04,Jarvan IV,jng,0,1,1
16.04,Orianna,mid,0,1,1
16.04,Seraphine,sup,0,1,1
16.04,Vi,jng,0,1,1
16.04,Xin Zhao,jng,1,0,1
16.04,Yorick,top,1,0,1
16.04,Zaahen,jng,1,0,1
16.05,Ambessa,top,1,3,2
16.05,Orianna,mid,1,3,2
16.05,Xin Zhao,jng,1,3,2
16.05,Varus,bot,1,2,2
16.05,Aatrox,top,2,0,2
16.05,Ashe,bot,1,1,2
16.05,Azir,mid,1,1,2
16.05,Dr. Mundo,jng,1,1,2
16.05,Karma,sup,2,0,2
16.05,Pantheon,jng,1,1,1
16.05,Sivir,bot,2,0,2
16.05,Zaahen,top,0,2,1
16.05,Annie,mid,1,0,1
16.05,Aphelios,bot,0,1,1
16.05,Braum,sup,0,1,1
16.05,Caitlyn,bot,0,1,1
16.05,Gwen,top,0,1,1
16.05,Jayce,jng,1,0,1
16.05,K'Sante,top,1,0,1
16.05,Mordekaiser,top,1,0,1
16.05,Nami,sup,0,1,1
16.05,Nautilus,sup,1,0,1
16.05,Rakan,sup,1,0,1
16.05,Ryze,mid,1,0,1
16.05,Seraphine,sup,1,0,1
16.05,Sion,top,0,1,1
16.05,Taliyah,mid,1,0,1
16.05,Yorick,top,0,1,1
16.05,Yunara,bot,0,1,1
16.05,Zaahen,jng,1,0,1
16.05,Zeri,bot,1,0,1
16.06,Seraphine,sup,1,2,2
16.06,Akali,mid,0,2,1
16.06,Annie,mid,1,1,2
16.06,Ezreal,bot,2,0,2
16.06,Galio,mid,1,1,2
16.06,Mordekaiser,top,1,1,2
16.06,Pantheon,jng,1,1,2
16.06,Ryze,mid,1,1,1
16.06,Varus,bot,0,2,1
16.06,Zaahen,top,0,2,1
16.06,Alistar,sup,1,0,1
16.06,Ambessa,top,1,0,1
16.06,Anivia,mid,1,0,1
16.06,Ashe,bot,1,0,1
16.06,Azir,mid,0,1,1
16.06,Corki,bot,1,0,1
16.06,Darius,top,0,1,1
16.06,Gnar,top,1,0,1
16.06,Jarvan IV,jng,1,0,1
16.06,Karma,sup,0,1,1
16.06,Nami,sup,1,0,1
16.06,Neeko,sup,1,0,1
16.06,Orianna,mid,0,1,1
16.06,Ornn,top,1,0,1
16.06,Rumble,top,0,1,1
16.06,Sylas,jng,1,0,1
16.06,Taliyah,mid,0,1,1
16.06,Trundle,jng,1,0,1
16.06,Yorick,top,0,1,1
16.07,Caitlyn,bot,2,1,2
16.07,Orianna,mid,0,3,1
16.07,Pantheon,jng,1,2,2
16.07,Galio,mid,2,0,2
16.07,Karma,sup,0,2,1
16.07,Nami,sup,1,1,2
16.07,Neeko,sup,2,0,2
16.07,Nocturne,jng,2,0,2
16.07,Sivir,bot,1,1,2
16.07,Varus,bot,0,2,1
16.07,Xin Zhao,jng,1,1,2
16.07,Aatrox,jng,0,1,1
16.07,Ambessa,top,1,0,1
16.07,Anivia,mid,1,0,1
16.07,Annie,mid,1,0,1
16.07,Corki,bot,1,0,1
16.07,Ezreal,bot,0,1,1
16.07,Gnar,top,0,1,1
16.07,Jarvan IV,jng,0,1,1
16.07,Jayce,top,1,0,1
16.07,Kai'Sa,bot,0,1,1
16.07,Malphite,jng,0,1,1
16.07,Mel,mid,0,1,1
16.07,Milio,sup,1,0,1
16.07,Mordekaiser,top,1,0,1
16.07,Nautilus,sup,1,0,1
16.07,Renekton,top,0,1,1
16.07,Rumble,top,1,0,1
16.07,Ryze,mid,0,1,1
16.07,Seraphine,sup,0,1,1
16.07,Shen,top,1,0,1
16.07,Taliyah,mid,1,0,1
16.07,Vel'Koz,bot,1,0,1
16.07,Vi,jng,1,0,1
16.07,Viktor,mid,0,1,1
16.07,Yasuo,mid,0,1,1
16.08,Orianna,mid,0,3,1
16.08,Pantheon,jng,0,3,1
16.08,Karma,sup,0,2,1
16.08,Aatrox,top,1,0,1
16.08,Akali,mid,1,0,1
16.08,Anivia,mid,1,0,1
16.08,Annie,mid,1,0,1
16.08,Ashe,bot,1,0,1
16.08,Azir,mid,0,1,1
16.08,Caitlyn,bot,1,0,1
16.08,Jarvan IV,jng,0,1,1
16.08,Jax,jng,1,0,1
16.08,Lee Sin,jng,0,1,1
16.08,Lulu,sup,1,0,1
16.08,Nautilus,sup,1,0,1
16.08,Neeko,sup,1,0,1
16.08,Nocturne,jng,0,1,1
16.08,Rumble,top,1,0,1
16.08,Sion,top,1,0,1
16.08,Sivir,bot,0,1,1
16.08,Vi,jng,1,0,1
16.08,Viktor,mid,0,1,1
16.08,Wukong,jng,0,1,1
16.08,Xin Zhao,jng,1,0,1
16.08,Yasuo,bot,1,0,1
