patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.01,Gwen,top,0,6,3,0,3,3
16.01,Jarvan IV,jng,0,6,3,0,3,3
16.01,Orianna,mid,0,4,3,0,3,3
16.01,K'Sante,top,0,3,2,0,1,1
16.01,Leona,sup,3,0,3,1,0,1
16.01,Lulu,sup,1,2,2,1,1,2
16.01,Nocturne,jng,2,1,2,1,1,2
16.01,Akali,top,2,0,2,1,0,1
16.01,Braum,sup,1,1,2,1,0,1
16.01,Syndra,mid,2,0,2,0,0,0
16.01,Yunara,bot,2,0,2,0,0,0
16.01,Zaahen,top,2,0,2,1,0,1
16.01,Alistar,sup,1,0,1,0,0,0
16.01,Anivia,mid,1,0,1,1,0,1
16.01,Caitlyn,bot,1,0,1,0,0,0
16.01,Corki,bot,1,0,1,1,0,1
16.01,Diana,jng,1,0,1,0,0,0
16.01,Kog'Maw,bot,0,1,1,0,0,0
16.01,LeBlanc,mid,1,0,1,1,0,1
16.01,Lee Sin,jng,1,0,1,1,0,1
16.01,Malphite,jng,1,0,1,0,0,0
16.01,Mel,mid,1,0,1,1,0,1
16.01,Nautilus,sup,0,1,1,0,1,1
16.01,Neeko,sup,0,1,1,0,0,0
16.01,Ornn,top,1,0,1,1,0,1
16.01,Ryze,mid,1,0,1,0,0,0
16.01,Sejuani,jng,0,1,1,0,1,1
16.01,Sivir,bot,1,0,1,1,0,1
16.01,Sylas,mid,0,1,1,0,1,1
16.01,Tristana,bot,1,0,1,1,0,1
16.01,Vayne,top,0,1,1,0,0,0
16.01,Wukong,jng,0,1,1,0,0,0
16.01,Xin Zhao,jng,1,0,1,1,0,1
16.01,Yorick,top,1,0,1,0,0,0
16.02,Lee Sin,jng,0,4,2,0,2,2
16.02,Nocturne,jng,0,4,2,0,2,2
16.02,Akali,mid,0,3,2,0,1,1
16.02,Galio,mid,2,1,2,0,1,1
16.02,Jarvan IV,jng,0,3,2,0,2,2
16.02,Braum,sup,2,0,2,1,0,1
16.02,Camille,top,2,0,2,0,0,0
16.02,Lulu,sup,0,2,2,0,1,1
16.02,Wukong,jng,1,1,1,0,1,1
16.02,Yunara,bot,2,0,2,1,0,1
16.02,Azir,mid,1,0,1,1,0,1
16.02,Elise,jng,1,0,1,0,0,0
16.02,Irelia,top,1,0,1,1,0,1
16.02,Kassadin,mid,0,1,1,0,0,0
16.02,Nautilus,sup,1,0,1,1,0,1
16.02,Neeko,sup,1,0,1,0,0,0
16.02,Orianna,mid,1,0,1,1,0,1
16.02,Poppy,sup,0,1,1,0,0,0
16.02,Sejuani,jng,1,0,1,1,0,1
16.02,Sivir,bot,1,0,1,0,0,0
16.02,Varus,bot,1,0,1,1,0,1
16.02,Vi,jng,1,0,1,1,0,1
16.02,Zaahen,top,1,0,1,1,0,1
16.03,Diana,jng,0,3,2,0,2,2
16.03,Ekko,mid,0,3,2,0,2,2
16.03,Akali,top,2,0,2,1,0,1
16.03,Caitlyn,bot,1,1,2,1,1,2
16.03,Galio,mid,2,0,2,2,0,2
16.03,Jarvan IV,jng,2,0,2,2,0,2
16.03,Neeko,sup,1,1,2,1,1,2
16.03,Orianna,mid,1,1,2,0,0,0
16.03,Rell,sup,1,1,2,0,0,0
16.03,Yunara,bot,0,2,1,0,1,1
16.03,Akali,mid,0,1,1,0,1,1
16.03,Braum,sup,1,0,1,1,0,1
16.03,Gwen,top,1,0,1,1,0,1
16.03,Karma,top,1,0,1,0,0,0
16.03,LeBlanc,mid,1,0,1,0,0,0
16.03,Lee Sin,jng,0,1,1,0,0,0
16.03,Leona,sup,0,1,1,0,0,0
16.03,Lulu,sup,0,1,1,0,1,1
16.03,Nocturne,jng,1,0,1,0,0,0
16.03,Rakan,sup,0,1,1,0,0,0
16.03,Renata Glasc,sup,1,0,1,0,0,0
16.03,Ryze,mid,0,1,1,0,0,0
16.03,Sivir,bot,0,1,1,0,1,1
16.03,Tristana,bot,1,0,1,1,0,1
16.03,Varus,bot,1,0,1,0,0,0
16.03,Wukong,jng,1,0,1,0,0,0
16.03,Xayah,bot,1,0,1,0,0,0
16.06,Dr. Mundo,jng,0,2,1,0,1,1
16.06,Nautilus,sup,0,2,1,0,1,1
16.06,Pantheon,jng,1,1,1,0,1,1
16.06,Ryze,mid,0,2,1,0,1,1
16.06,Bard,sup,1,0,1,1,0,1
16.06,Galio,mid,1,0,1,1,0,1
16.06,Gnar,top,0,1,1,0,0,0
16.06,Jarvan IV,jng,0,1,1,0,1,1
16.06,Kai'Sa,bot,1,0,1,0,0,0
16.06,LeBlanc,mid,1,0,1,0,0,0
16.06,Neeko,sup,1,0,1,0,0,0
16.06,Rumble,top,1,0,1,1,0,1
16.06,Sion,top,0,1,1,0,0,0
16.06,Varus,bot,1,0,1,1,0,1
16.06,Vi,jng,1,0,1,1,0,1
16.06,Zaahen,top,1,0,1,0,0,0
16.07,Jarvan IV,jng,2,1,2,1,1,2
16.07,Nautilus,sup,0,3,2,0,2,2
16.07,Aphelios,bot,1,1,2,1,0,1
16.07,Ezreal,bot,1,1,2,1,1,2
16.07,Lulu,sup,1,1,2,1,0,1
16.07,Mel,mid,0,2,1,0,1,1
16.07,Orianna,mid,0,2,2,0,1,1
16.07,Ryze,mid,1,1,2,0,0,0
16.07,Seraphine,sup,0,2,1,0,1,1
16.07,Ahri,mid,1,0,1,0,0,0
16.07,Bard,sup,0,1,1,0,1,1
16.07,Hwei,sup,1,0,1,1,0,1
16.07,K'Sante,top,1,0,1,1,0,1
16.07,Kai'Sa,bot,1,0,1,0,0,0
16.07,Karma,sup,0,1,1,0,0,0
16.07,Kassadin,mid,1,0,1,1,0,1
16.07,LeBlanc,mid,0,1,1,0,0,0
16.07,Malphite,mid,1,0,1,1,0,1
16.07,Nocturne,jng,0,1,1,0,1,1
16.07,Ornn,top,1,0,1,1,0,1
16.07,Pantheon,jng,0,1,1,0,1,1
16.07,Poppy,sup,1,0,1,0,0,0
16.07,Rell,sup,0,1,1,0,0,0
16.07,Rumble,top,1,0,1,0,0,0
16.07,Sion,top,1,0,1,0,0,0
16.07,Soraka,sup,1,0,1,0,0,0
16.07,Vi,jng,1,0,1,0,0,0
16.07,Xin Zhao,jng,1,0,1,1,0,1
16.07,Yunara,bot,1,0,1,0,0,0
16.08,Ezreal,bot,2,2,3,1,1,2
16.08,Kassadin,mid,0,4,3,0,1,1
16.08,Orianna,mid,0,4,3,0,2,2
16.08,Dr. Mundo,jng,3,0,3,0,0,0
16.08,Jarvan IV,jng,1,2,2,1,1,2
16.08,K'Sante,top,2,1,3,2,1,3
16.08,Karma,sup,0,3,2,0,2,2
16.08,Ambessa,top,1,1,2,0,1,1
16.08,Kennen,top,0,2,2,0,2,2
16.08,Lulu,sup,2,0,2,2,0,2
16.08,Nautilus,sup,0,2,2,0,1,1
16.08,Ornn,top,1,1,2,1,1,2
16.08,Rumble,top,1,1,1,0,1,1
16.08,Ryze,mid,2,0,2,2,0,2
16.08,Wukong,jng,0,2,2,0,0,0
16.08,Yunara,bot,2,0,2,2,0,2
16.08,Anivia,mid,1,0,1,0,0,0
16.08,Aphelios,bot,1,0,1,0,0,0
16.08,Ashe,bot,0,1,1,0,0,0
16.08,Bard,sup,1,0,1,1,0,1
16.08,Galio,mid,1,0,1,0,0,0
16.08,LeBlanc,mid,0,1,1,0,0,0
16.08,Leona,sup,1,0,1,0,0,0
16.08,Pantheon,jng,0,1,1,0,1,1
16.08,Poppy,sup,1,0,1,0,0,0
16.08,Sion,top,1,0,1,0,0,0
16.08,Sivir,bot,1,0,1,0,0,0
16.08,Thresh,sup,1,0,1,0,0,0
16.08,Vi,jng,1,0,1,1,0,1
16.08,Viktor,mid,1,0,1,1,0,1
16.08,Xin Zhao,jng,1,0,1,1,0,1
16.08,Yone,mid,0,1,1,0,0,0
16.08,Ziggs,mid,1,0,1,0,0,0
16.08,Ziggs,bot,0,1,1,0,0,0
16.09,Neeko,sup,0,6,2,0,2,2
16.09,Jarvan IV,jng,1,3,2,0,1,1
16.09,Aphelios,bot,0,3,1,0,0,0
16.09,Aurora,mid,1,2,1,0,1,1
16.09,Ezreal,bot,0,3,2,0,0,0
16.09,Leona,sup,2,1,2,0,0,0
16.09,Rumble,top,1,2,2,1,1,2
16.09,Alistar,sup,2,0,2,1,0,1
16.09,Dr. Mundo,jng,1,1,1,0,0,0
16.09,Kai'Sa,bot,2,0,2,2,0,2
16.09,Nautilus,sup,0,2,1,0,0,0
16.09,Orianna,mid,1,1,2,0,1,1
