patch,champ,role,picks_vs,bans_vs
16.02,Akali,mid,0,4
16.02,Orianna,mid,2,2
16.02,Riven,top,0,4
16.02,Ambessa,top,0,3
16.02,Irelia,top,0,3
16.02,Jayce,top,0,3
16.02,Rakan,sup,2,1
16.02,Ryze,mid,3,0
16.02,Varus,bot,1,2
16.02,Aphelios,bot,2,0
16.02,Ashe,bot,2,0
16.02,Gnar,top,2,0
16.02,Malphite,jng,1,1
16.02,Qiyana,jng,0,2
16.02,Wukong,jng,1,1
16.02,Alistar,sup,1,0
16.02,Ambessa,jng,1,0
16.02,Anivia,mid,0,1
16.02,Bard,sup,1,0
16.02,Cassiopeia,mid,0,1
16.02,Cho'Gath,top,1,0
16.02,Ezreal,bot,1,0
16.02,Graves,jng,1,0
16.02,Gwen,jng,1,0
16.02,Gwen,top,1,0
16.02,Jarvan IV,jng,1,0
16.02,K'Sante,top,1,0
16.02,LeBlanc,mid,1,0
16.02,Lucian,bot,1,0
16.02,Milio,sup,1,0
16.02,Nautilus,sup,0,1
16.02,Neeko,sup,0,1
16.02,Nocturne,jng,0,1
16.02,Rell,sup,0,1
16.02,Renekton,top,1,0
16.02,Rumble,top,0,1
16.02,Seraphine,sup,1,0
16.02,Syndra,mid,1,0
16.02,Taliyah,mid,0,1
16.02,Trundle,jng,1,0
16.02,Yone,mid,0,1
16.02,Zaahen,top,1,0
16.02,Zyra,sup,1,0
16.03,Akali,mid,1,3
16.03,Orianna,mid,1,3
16.03,Aatrox,jng,0,3
16.03,Azir,mid,2,1
16.03,Riven,top,0,3
16.03,Ryze,mid,1,2
16.03,Vi,jng,1,2
16.03,Xin Zhao,jng,2,1
16.03,Yunara,bot,1,2
16.03,Alistar,sup,2,0
16.03,Ambessa,top,0,2
16.03,Aphelios,bot,2,0
16.03,Galio,mid,1,1
16.03,Kai'Sa,bot,2,0
16.03,Nocturne,jng,1,1
16.03,Rakan,sup,2,0
16.03,Rumble,top,2,0
16.03,Wukong,jng,1,1
16.03,Ahri,mid,0,1
16.03,Caitlyn,bot,1,0
16.03,Ezreal,bot,1,0
16.03,Galio,top,1,0
16.03,Gragas,top,0,1
16.03,Gwen,top,0,1
16.03,Irelia,top,0,1
16.03,Jax,top,1,0
16.03,Jayce,top,0,1
16.03,K'Sante,top,1,0
16.03,Kassadin,mid,1,0
16.03,LeBlanc,mid,0,1
16.03,Lulu,sup,1,0
16.03,Nautilus,sup,1,0
16.03,Neeko,sup,0,1
16.03,Nidalee,jng,1,0
16.03,Poppy,top,1,0
16.03,Poppy,sup,0,1
16.03,Sivir,bot,0,1
16.03,Sylas,mid,0,1
16.03,Tahm Kench,sup,1,0
16.03,Viego,jng,1,0
16.03,Zaahen,top,1,0
16.04,Vi,jng,0,4
16.04,Azir,mid,0,3
16.04,Orianna,mid,0,3
16.04,Ezreal,bot,0,2
16.04,K'Sante,top,2,0
16.04,Neeko,sup,2,0
16.04,Qiyana,jng,2,0
16.04,Varus,bot,2,0
16.04,Yunara,bot,1,1
16.04,Aatrox,jng,0,1
16.04,Ahri,mid,1,0
16.04,Akali,top,1,0
16.04,Akali,mid,0,1
16.04,Anivia,mid,1,0
16.04,Aphelios,bot,1,0
16.04,Ashe,bot,0,1
16.04,Aurora,mid,1,0
16.04,Corki,bot,1,0
16.04,Galio,mid,0,1
16.04,Illaoi,top,1,0
16.04,Jarvan IV,jng,1,0
16.04,Jax,top,1,0
16.04,Karma,sup,0,1
16.04,Leona,sup,1,0
16.04,Lucian,bot,0,1
16.04,Lulu,sup,0,1
16.04,Naafiri,jng,1,0
16.04,Nautilus,sup,1,0
16.04,Nocturne,jng,0,1
16.04,Poppy,sup,0,1
16.04,Renata Glasc,sup,1,0
16.04,Sejuani,jng,1,0
16.04,Sylas,mid,1,0
16.04,Taliyah,mid,0,1
16.04,Viktor,mid,1,0
16.04,Xin Zhao,jng,0,1
16.04,Zyra,jng,0,1
16.05,Ambessa,top,0,4
16.05,Ezreal,bot,2,2
16.05,Vi,jng,2,2
16.05,Neeko,sup,1,2
16.05,Orianna,mid,1,2
16.05,Varus,bot,2,1
16.05,Ashe,bot,0,2
16.05,K'Sante,top,2,0
16.05,Kai'Sa,bot,1,1
16.05,Lulu,sup,0,2
16.05,Nautilus,sup,0,2
16.05,Poppy,sup,1,1
16.05,Ryze,mid,2,0
16.05,Ahri,mid,1,0
16.05,Akali,mid,0,1
16.05,Alistar,sup,1,0
16.05,Annie,mid,0,1
16.05,Aurora,mid,0,1
16.05,Gnar,top,0,1
16.05,Gwen,jng,1,0
16.05,Gwen,top,0,1
16.05,Jarvan IV,jng,1,0
16.05,Karma,sup,0,1
16.05,Lee Sin,jng,0,1
16.05,Maokai,jng,1,0
16.05,Nami,sup,0,1
16.05,Pantheon,jng,0,1
16.05,Rakan,sup,1,0
16.05,Rek'Sai,top,1,0
16.05,Rell,sup,1,0
16.05,Renekton,top,1,0
16.05,Rumble,top,1,0
16.05,Seraphine,sup,1,0
16.05,Sion,top,1,0
16.05,Sivir,bot,1,0
16.05,Taliyah,mid,1,0
16.05,Wukong,jng,1,0
16.05,Yone,mid,1,0
16.06,Orianna,mid,0,2
16.06,Seraphine,sup,0,2
16.06,Ambessa,jng,1,0
16.06,Aurora,mid,0,1
16.06,Caitlyn,bot,1,0
16.06,Gwen,top,0,1
16.06,Irelia,top,0,1
16.06,K'Sante,top,1,0
16.06,Karma,sup,0,1
16.06,LeBlanc,mid,1,0
16.06,Nami,sup,1,0
16.06,Rell,sup,1,0
16.06,Renekton,top,0,1
16.06,Rumble,top,1,0
16.06,Sivir,bot,1,0
16.06,Syndra,mid,1,0
16.06,Vi,jng,1,0
16.06,Yone,mid,0,1
16.08,Naafiri,jng,0,5
16.08,Nocturne,jng,0,4
16.08,Lee Sin,jng,2,1
16.08,Orianna,mid,0,3
16.08,Ahri,mid,1,1
16.08,Annie,mid,2,0
16.08,Ashe,bot,1,1
16.08,Aurora,mid,1,1
16.08,Viktor,mid,0,2
16.08,Akali,mid,1,0
16.08,Aurora,top,1,0
16.08,Gnar,top,1,0
16.08,Jarvan IV,jng,1,0
16.08,Jax,top,1,0
16.08,Jhin,bot,1,0
16.08,Kai'Sa,bot,1,0
16.08,Karma,sup,1,0
16.08,Leona,sup,0,1
16.08,Lulu,sup,1,0
16.08,Mordekaiser,top,1,0
16.08,Nautilus,sup,1,0
16.08,Pyke,sup,0,1
16.08,Rakan,sup,1,0
16.08,Rek'Sai,jng,1,0
16.08,Renekton,top,1,0
16.08,Riven,top,0,1
16.08,Ryze,mid,0,1
16.08,Seraphine,sup,1,0
16.08,Varus,bot,1,0
16.08,Vi,jng,0,1
16.08,Wukong,jng,0,1
16.08,Xin Zhao,jng,1,0
16.08,Zaahen,top,0,1
16.08,Zeri,bot,1,0
16.09,Jarvan IV,jng,1,2
16.09,Viktor,mid,1,2
16.09,Hwei,mid,2,0
16.09,Kai'Sa,bot,2,0
16.09,Naafiri,jng,0,2
16.09,Orianna,mid,0,2
16.09,Ornn,top,0,2
16.09,Riven,top,0,2
16.09,Vi,jng,0,2
16.09,Wukong,jng,0,2
16.09,Akali,mid,0,1
16.09,Ambessa,jng,1,0
16.09,Anivia,top,1,0
16.09,Aphelios,bot,1,0
16.09,Ashe,bot,1,0
16.09,Aurora,top,1,0
16.09,Azir,mid,1,0
16.09,Gwen,top,1,0
16.09,Karma,sup,1,0
16.09,LeBlanc,mid,0,1
16.09,Lucian,bot,0,1
16.09,Neeko,sup,1,0
16.09,Pantheon,jng,1,0
16.09,Rell,sup,1,0
16.09,Renekton,top,1,0
16.09,Ryze,mid,0,1
16.09,Seraphine,sup,1,0
16.09,Xin Zhao,jng,1,0
16.1,Neeko,sup,0,2
16.1,Varus,bot,0,2
16.1,Aatrox,jng,0,1
16.1,Akali,mid,1,0
16.1,Ambessa,top,0,1
16.1,Ashe,bot,1,0
16.1,Bard,sup,1,0
16.1,Ezreal,bot,1,0
16.1,Galio,top,1,0
16.1,Jarvan IV,jng,0,1
16.1,Leona,sup,1,0
16.1,Milio,sup,0,1
16.1,Nami,sup,0,1
16.1,Ryze,mid,1,0
16.1,Seraphine,sup,0,1
16.1,Sion,top,1,0
16.1,Wukong,jng,1,0
16.1,Xin Zhao,jng,1,0
