patch,champ,role,picks_by,bans_vs,series_presence
16.01,Ambessa,top,0,6,6
16.01,Corki,bot,3,3,6
16.01,Orianna,mid,2,3,5
16.01,K'Sante,top,3,1,4
16.01,Smolder,bot,0,4,4
16.01,Alistar,sup,2,1,3
16.01,Diana,jng,1,2,3
16.01,Leona,sup,2,1,3
16.01,Lucian,bot,0,3,3
16.01,Nautilus,sup,1,2,3
16.01,Sion,top,1,2,3
16.01,Syndra,mid,1,2,3
16.01,Wukong,jng,2,1,3
16.01,Aphelios,bot,1,1,2
16.01,LeBlanc,mid,1,1,2
16.01,Varus,bot,2,0,2
16.01,Vi,jng,2,0,2
16.01,Ahri,mid,1,0,1
16.01,Aurora,mid,1,0,1
16.01,Braum,sup,1,0,1
16.01,Caitlyn,bot,1,0,1
16.01,Camille,top,1,0,1
16.01,Gnar,top,1,0,1
16.01,Gwen,top,0,1,1
16.01,Jarvan IV,jng,1,0,1
16.01,Jax,top,1,0,1
16.01,Rakan,sup,1,0,1
16.01,Viktor,mid,1,0,1
16.01,Xin Zhao,jng,1,0,1
16.01,Zaahen,top,0,1,1
16.02,Diana,jng,0,5,1
16.02,Varus,bot,0,4,2
16.02,Caitlyn,bot,1,2,2
16.02,Jarvan IV,jng,2,1,2
16.02,Nami,sup,2,1,2
16.02,Nautilus,sup,2,1,2
16.02,Nocturne,jng,1,2,2
16.02,Wukong,jng,1,2,2
16.02,Ahri,mid,1,1,1
16.02,Alistar,sup,1,1,2
16.02,Ambessa,top,1,1,2
16.02,Aurora,mid,2,0,2
16.02,Gragas,top,2,0,2
16.02,Kai'Sa,bot,2,0,2
16.02,Karma,sup,1,1,1
16.02,Lucian,bot,0,2,1
16.02,Malphite,jng,0,2,2
16.02,Neeko,sup,0,2,1
16.02,Orianna,mid,1,1,2
16.02,Rell,sup,2,0,2
16.02,Smolder,bot,1,1,1
16.02,Syndra,mid,1,1,1
16.02,Trundle,jng,2,0,2
16.02,Vi,jng,1,1,2
16.02,Yunara,bot,2,0,2
16.02,Aatrox,jng,0,1,1
16.02,Akali,mid,1,0,1
16.02,Anivia,top,1,0,1
16.02,Aphelios,bot,0,1,1
16.02,Cassiopeia,mid,1,0,1
16.02,Corki,bot,1,0,1
16.02,Gnar,top,1,0,1
16.02,Gwen,top,0,1,1
16.02,Jinx,bot,1,0,1
16.02,K'Sante,top,1,0,1
16.02,LeBlanc,mid,0,1,1
16.02,Miss Fortune,bot,0,1,1
16.02,Pantheon,jng,1,0,1
16.02,Ryze,mid,0,1,1
16.02,Sion,top,1,0,1
16.02,Sivir,bot,0,1,1
16.02,Taliyah,mid,1,0,1
16.02,Zaahen,top,1,0,1
16.02,Ziggs,bot,0,1,1
16.03,Ambessa,top,0,12,3
16.03,Neeko,sup,1,5,2
16.03,Orianna,mid,1,5,3
16.03,Syndra,mid,2,4,3
16.03,Aatrox,jng,0,5,2
16.03,Anivia,mid,3,1,3
16.03,Caitlyn,bot,0,4,1
16.03,Gnar,top,2,2,3
16.03,K'Sante,top,3,1,3
16.03,Wukong,jng,1,3,2
16.03,Bard,sup,1,2,3
16.03,Braum,sup,2,1,3
16.03,Jax,top,1,2,2
16.03,Karma,sup,0,3,1
16.03,Pantheon,jng,3,0,3
16.03,Rakan,sup,2,1,2
16.03,Yunara,bot,3,0,3
16.03,Aurora,mid,2,0,2
16.03,Dr. Mundo,jng,2,0,2
16.03,Ezreal,bot,2,0,2
16.03,Gragas,top,1,1,2
16.03,Nami,sup,2,0,2
16.03,Nautilus,sup,2,0,2
16.03,Sion,top,2,0,2
16.03,Smolder,bot,2,0,2
16.03,Taliyah,mid,1,1,2
16.03,Trundle,jng,2,0,2
16.03,Varus,bot,2,0,2
16.03,Vi,jng,2,0,2
16.03,Ahri,mid,1,0,1
16.03,Alistar,sup,0,1,1
16.03,Cassiopeia,mid,1,0,1
16.03,Corki,bot,1,0,1
16.03,Gwen,top,0,1,1
16.03,Jarvan IV,jng,1,0,1
16.03,Kai'Sa,bot,1,0,1
16.03,Malphite,top,1,0,1
16.03,Rell,sup,1,0,1
16.03,Renekton,top,1,0,1
16.03,Ryze,mid,1,0,1
16.03,Sejuani,jng,1,0,1
16.03,Sivir,bot,1,0,1
16.03,Swain,top,1,0,1
16.03,Sylas,mid,0,1,1
16.03,Thresh,sup,1,0,1
16.03,Viktor,mid,0,1,1
16.03,Xin Zhao,jng,0,1,1
16.03,Yone,mid,0,1,1
16.06,Orianna,mid,1,2,3
16.06,Pantheon,jng,3,0,3
16.06,Alistar,sup,2,0,2
16.06,Ambessa,top,0,2,2
16.06,Aurora,mid,1,1,2
16.06,Caitlyn,bot,1,1,2
16.06,Nocturne,jng,0,2,2
16.06,Bard,sup,1,0,1
16.06,Cho'Gath,top,1,0,1
16.06,Galio,top,1,0,1
16.06,Gwen,top,0,1,1
16.06,Jax,top,0,1,1
16.06,LeBlanc,mid,0,1,1
16.06,Lulu,sup,0,1,1
