patch,champ,role,picks_by,bans_vs
16.03,Ambessa,top,0,2
16.03,Braum,sup,0,2
16.03,Naafiri,jng,0,2
16.03,Alistar,sup,0,1
16.03,Dr. Mundo,jng,1,0
16.03,Gnar,top,1,0
16.03,Jarvan IV,jng,1,0
16.03,Jayce,top,0,1
16.03,Lulu,sup,0,1
16.03,Malphite,jng,0,1
16.03,Orianna,mid,1,0
16.03,Rakan,sup,1,0
16.03,Rell,sup,1,0
16.03,Sion,top,1,0
16.03,Taliyah,mid,1,0
16.03,Yunara,bot,1,0
16.03,Zeri,bot,1,0
16.04,Dr. Mundo,jng,1,6
16.04,Bard,sup,1,5
16.04,Neeko,sup,2,4
16.04,Rumble,top,2,3
16.04,Varus,bot,2,3
16.04,Alistar,sup,2,2
16.04,Gnar,top,3,1
16.04,Mel,mid,2,2
16.04,Wukong,jng,4,0
16.04,Xin Zhao,jng,2,2
16.04,Zoe,mid,1,3
16.04,Akali,mid,2,1
16.04,Ashe,bot,1,2
16.04,Corki,bot,2,1
16.04,Ezreal,bot,2,1
16.04,Renekton,top,2,1
16.04,Sylas,mid,2,1
16.04,Vi,jng,3,0
16.04,Ambessa,top,0,2
16.04,Aurora,mid,2,0
16.04,Gwen,top,2,0
16.04,Jhin,bot,1,1
16.04,K'Sante,top,0,2
16.04,Karma,sup,1,1
16.04,Rakan,sup,1,1
16.04,Ryze,mid,1,1
16.04,Sion,top,2,0
16.04,Ahri,mid,1,0
16.04,Ambessa,jng,1,0
16.04,Aphelios,bot,1,0
16.04,Braum,sup,0,1
16.04,Caitlyn,bot,0,1
16.04,Jarvan IV,jng,0,1
16.04,Lulu,sup,0,1
16.04,Maokai,jng,0,1
16.04,Nautilus,sup,1,0
16.04,Orianna,mid,0,1
16.04,Ornn,top,0,1
16.04,Poppy,sup,1,0
16.04,Rell,sup,1,0
16.04,Seraphine,sup,1,0
16.04,Taliyah,mid,0,1
16.04,Viktor,mid,0,1
16.04,Xayah,bot,1,0
16.04,Yunara,bot,1,0
16.09,Rumble,top,0,5
16.09,Bard,sup,1,3
16.09,Nautilus,sup,1,2
16.09,Sion,top,0,3
16.09,Aurora,top,2,0
16.09,Ezreal,bot,2,0
16.09,Gnar,top,1,1
16.09,Jarvan IV,jng,0,2
16.09,Leona,sup,1,1
16.09,Renekton,top,2,0
16.09,Akali,mid,0,1
16.09,Ambessa,jng,1,0
16.09,Annie,mid,1,0
16.09,Braum,sup,0,1
16.09,Gwen,top,0,1
16.09,Hwei,mid,1,0
16.09,Karma,sup,1,0
16.09,Lulu,sup,0,1
16.09,Mel,mid,0,1
16.09,Miss Fortune,bot,1,0
16.09,Naafiri,jng,1,0
16.09,Nami,sup,0,1
16.09,Ornn,top,0,1
16.09,Pantheon,jng,1,0
16.09,Rell,sup,1,0
16.09,Sivir,bot,1,0
16.09,Skarner,jng,1,0
16.09,Smolder,bot,1,0
16.09,Sylas,mid,0,1
16.09,Wukong,jng,1,0
16.09,Xerath,mid,1,0
16.09,Xin Zhao,mid,1,0
16.09,Zoe,mid,1,0
16.10,Gnar,top,0,3
16.10,Zoe,mid,1,2
16.10,Ambessa,top,0,2
16.10,Aurora,mid,0,2
16.10,Ezreal,bot,1,1
16.10,Jarvan IV,jng,1,1
16.10,Karma,sup,2,0
16.10,Leona,sup,0,2
16.10,Lucian,bot,0,2
16.10,Naafiri,jng,0,2
16.10,Orianna,mid,0,2
16.10,Pantheon,jng,2,0
16.10,Xin Zhao,jng,2,0
16.10,Anivia,mid,0,1
16.10,Annie,mid,1,0
16.10,Bard,sup,0,1
16.10,Camille,sup,1,0
16.10,Corki,bot,1,0
16.10,Galio,mid,1,0
16.10,Gwen,top,0,1
16.10,Hwei,mid,1,0
16.10,Kai'Sa,bot,1,0
16.10,Nami,sup,1,0
16.10,Nautilus,sup,0,1
16.10,Ornn,top,1,0
16.10,Rell,sup,1,0
16.10,Renekton,top,1,0
16.10,Rumble,top,1,0
16.10,Samira,bot,1,0
16.10,Sion,top,1,0
16.10,Sivir,bot,1,0
16.10,Skarner,jng,0,1
16.10,Swain,mid,1,0
16.10,Vayne,top,1,0
16.10,Viktor,mid,0,1
