patch,champ,role,picks_by,bans_vs
16.01,Malphite,jng,0,2
16.01,Qiyana,jng,0,2
16.01,Ambessa,top,0,1
16.01,Aphelios,bot,0,1
16.01,Bard,sup,0,1
16.01,Corki,bot,0,1
16.01,Jarvan IV,jng,1,0
16.01,Kai'Sa,bot,1,0
16.01,Karma,sup,0,1
16.01,Lee Sin,jng,1,0
16.01,Orianna,mid,1,0
16.01,Rakan,sup,1,0
16.01,Rell,sup,1,0
16.01,Renekton,top,0,1
16.01,Rumble,top,1,0
16.01,Sion,top,1,0
16.01,Sivir,bot,1,0
16.01,Syndra,mid,1,0
16.02,Qiyana,jng,1,4
16.02,Ambessa,top,1,2
16.02,Corki,bot,2,1
16.02,Ryze,mid,3,0
16.02,Akali,mid,0,2
16.02,Jayce,top,0,2
16.02,Kai'Sa,bot,0,2
16.02,Malphite,jng,1,1
16.02,Nami,sup,1,1
16.02,Rumble,top,1,1
16.02,Sivir,bot,1,1
16.02,Varus,bot,0,2
16.02,Aatrox,jng,1,0
16.02,Alistar,sup,1,0
16.02,Aphelios,bot,0,1
16.02,Bard,sup,1,0
16.02,Caitlyn,bot,0,1
16.02,Ezreal,bot,1,0
16.02,Gnar,top,1,0
16.02,Jarvan IV,jng,1,0
16.02,K'Sante,top,1,0
16.02,Leona,sup,1,0
16.02,Lucian,bot,1,0
16.02,Nocturne,jng,1,0
16.02,Orianna,mid,1,0
16.02,Pantheon,jng,0,1
16.02,Rakan,sup,1,0
16.02,Renekton,top,1,0
16.02,Sion,top,0,1
16.02,Syndra,mid,1,0
16.02,Wukong,jng,0,1
16.02,Xin Zhao,jng,0,1
16.03,Qiyana,jng,1,4
16.03,Akali,mid,0,3
16.03,Ambessa,top,1,2
16.03,Ezreal,bot,2,1
16.03,Neeko,sup,2,1
16.03,Varus,bot,0,3
16.03,Jarvan IV,jng,0,2
16.03,Malphite,jng,1,1
16.03,Nautilus,sup,1,1
16.03,Renekton,top,1,1
16.03,Vi,jng,1,1
16.03,Aatrox,jng,1,0
16.03,Ahri,mid,0,1
16.03,Aurora,mid,1,0
16.03,Gwen,top,1,0
